variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
baseline,box,shape_pair_create_dispose,0,256,4578,-1,False,10000000
baseline,box,shape_pair_create_dispose,1,256,4456,-1,False,10000000
baseline,box,shape_pair_create_dispose,2,256,4337,-1,False,10000000
baseline,box,shape_pair_create_dispose,3,256,4457,-1,False,10000000
baseline,box,shape_pair_create_dispose,4,256,4496,-1,False,10000000
baseline,box,shape_pair_create_dispose,5,256,4482,-1,False,10000000
baseline,box,shape_pair_create_dispose,6,256,4568,-1,False,10000000
baseline,box,shape_pair_create_dispose,7,256,4605,-1,False,10000000
baseline,box,box_mass_divide,0,1024,39663,-1,False,10000000
baseline,box,box_mass_divide,1,1024,40591,-1,False,10000000
baseline,box,box_mass_divide,2,1024,40352,-1,False,10000000
baseline,box,box_mass_divide,3,1024,39856,-1,False,10000000
baseline,box,box_mass_divide,4,1024,39307,-1,False,10000000
baseline,box,box_mass_divide,5,1024,39415,-1,False,10000000
baseline,box,box_mass_divide,6,1024,39055,-1,False,10000000
baseline,box,box_mass_divide,7,1024,38898,-1,False,10000000
baseline,box,provisional_build,0,1,382,-1,False,10000000
baseline,box,prepare_colliders,0,1,50,-1,False,10000000
baseline,box,adopt_colliders,0,1,29,-1,False,10000000
baseline,box,provisional_build,1,1,383,-1,False,10000000
baseline,box,prepare_colliders,1,1,43,-1,False,10000000
baseline,box,adopt_colliders,1,1,25,-1,False,10000000
baseline,box,provisional_build,2,1,371,-1,False,10000000
baseline,box,prepare_colliders,2,1,49,-1,False,10000000
baseline,box,adopt_colliders,2,1,29,-1,False,10000000
baseline,box,provisional_build,3,1,378,-1,False,10000000
baseline,box,prepare_colliders,3,1,49,-1,False,10000000
baseline,box,adopt_colliders,3,1,26,-1,False,10000000
baseline,box,provisional_build,4,1,371,-1,False,10000000
baseline,box,prepare_colliders,4,1,46,-1,False,10000000
baseline,box,adopt_colliders,4,1,27,-1,False,10000000
baseline,box,provisional_build,5,1,365,-1,False,10000000
