variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
view,box,shape_pair_create_dispose,0,256,3032,-1,False,10000000
view,box,shape_pair_create_dispose,1,256,3121,-1,False,10000000
view,box,shape_pair_create_dispose,2,256,3030,-1,False,10000000
view,box,shape_pair_create_dispose,3,256,2996,-1,False,10000000
view,box,shape_pair_create_dispose,4,256,3043,-1,False,10000000
view,box,shape_pair_create_dispose,5,256,3082,-1,False,10000000
view,box,shape_pair_create_dispose,6,256,3023,-1,False,10000000
view,box,shape_pair_create_dispose,7,256,3030,-1,False,10000000
view,box,box_mass_divide,0,1024,41142,-1,False,10000000
view,box,box_mass_divide,1,1024,41542,-1,False,10000000
view,box,box_mass_divide,2,1024,39949,-1,False,10000000
view,box,box_mass_divide,3,1024,39965,-1,False,10000000
view,box,box_mass_divide,4,1024,39836,-1,False,10000000
view,box,box_mass_divide,5,1024,40250,-1,False,10000000
view,box,box_mass_divide,6,1024,39376,-1,False,10000000
view,box,box_mass_divide,7,1024,39020,-1,False,10000000
view,box,provisional_build,0,1,362,-1,False,10000000
view,box,prepare_colliders,0,1,60,-1,False,10000000
view,box,adopt_colliders,0,1,36,-1,False,10000000
view,box,provisional_build,1,1,421,-1,False,10000000
view,box,prepare_colliders,1,1,51,-1,False,10000000
view,box,adopt_colliders,1,1,28,-1,False,10000000
view,box,provisional_build,2,1,357,-1,False,10000000
view,box,prepare_colliders,2,1,47,-1,False,10000000
view,box,adopt_colliders,2,1,30,-1,False,10000000
view,box,provisional_build,3,1,359,-1,False,10000000
view,box,prepare_colliders,3,1,46,-1,False,10000000
view,box,adopt_colliders,3,1,28,-1,False,10000000
view,box,provisional_build,4,1,347,-1,False,10000000
view,box,prepare_colliders,4,1,43,-1,False,10000000
view,box,adopt_colliders,4,1,26,-1,False,10000000
view,box,provisional_build,5,1,348,-1,False,10000000
view,box,prepare_colliders,5,1,44,-1,False,10000000
view,box,adopt_colliders,5,1,27,-1,False,10000000
view,box,provisional_build,6,1,358,-1,False,10000000
view,box,prepare_colliders,6,1,49,-1,False,10000000
view,box,adopt_colliders,6,1,27,-1,False,10000000
view,box,provisional_build,7,1,370,-1,False,10000000
view,box,prepare_colliders,7,1,44,-1,False,10000000
view,box,adopt_colliders,7,1,27,-1,False,10000000
view,box,provisional_build,8,1,345,-1,False,10000000
view,box,prepare_colliders,8,1,43,-1,False,10000000
view,box,adopt_colliders,8,1,26,-1,False,10000000
view,box,provisional_build,9,1,347,-1,False,10000000
view,box,prepare_colliders,9,1,47,-1,False,10000000
view,box,adopt_colliders,9,1,28,-1,False,10000000
view,box,provisional_build,10,1,363,-1,False,10000000
view,box,prepare_colliders,10,1,46,-1,False,10000000
view,box,adopt_colliders,10,1,28,-1,False,10000000
view,box,provisional_build,11,1,352,-1,False,10000000
view,box,prepare_colliders,11,1,44,-1,False,10000000
view,box,adopt_colliders,11,1,28,-1,False,10000000
view,box,provisional_build,12,1,372,-1,False,10000000
view,box,prepare_colliders,12,1,43,-1,False,10000000
view,box,adopt_colliders,12,1,27,-1,False,10000000
view,box,provisional_build,13,1,355,-1,False,10000000
view,box,prepare_colliders,13,1,46,-1,False,10000000
view,box,adopt_colliders,13,1,26,-1,False,10000000
view,box,provisional_build,14,1,349,-1,False,10000000
view,box,prepare_colliders,14,1,48,-1,False,10000000
view,box,adopt_colliders,14,1,28,-1,False,10000000
view,box,provisional_build,15,1,346,-1,False,10000000
view,box,prepare_colliders,15,1,40,-1,False,10000000
view,box,adopt_colliders,15,1,28,-1,False,10000000
view,box,provisional_build,16,1,351,-1,False,10000000
view,box,prepare_colliders,16,1,41,-1,False,10000000
view,box,adopt_colliders,16,1,27,-1,False,10000000
view,box,provisional_build,17,1,339,-1,False,10000000
view,box,prepare_colliders,17,1,45,-1,False,10000000
view,box,adopt_colliders,17,1,27,-1,False,10000000
view,box,provisional_build,18,1,443,-1,False,10000000
view,box,prepare_colliders,18,1,65,-1,False,10000000
view,box,adopt_colliders,18,1,29,-1,False,10000000
view,box,provisional_build,19,1,410,-1,False,10000000
view,box,prepare_colliders,19,1,42,-1,False,10000000
view,box,adopt_colliders,19,1,28,-1,False,10000000
view,box,provisional_build,20,1,346,-1,False,10000000
view,box,prepare_colliders,20,1,44,-1,False,10000000
view,box,adopt_colliders,20,1,25,-1,False,10000000
view,box,provisional_build,21,1,343,-1,False,10000000
view,box,prepare_colliders,21,1,43,-1,False,10000000
view,box,adopt_colliders,21,1,26,-1,False,10000000
view,box,provisional_build,22,1,371,-1,False,10000000
view,box,prepare_colliders,22,1,42,-1,False,10000000
view,box,adopt_colliders,22,1,26,-1,False,10000000
view,box,provisional_build,23,1,344,-1,False,10000000
view,box,prepare_colliders,23,1,44,-1,False,10000000
view,box,adopt_colliders,23,1,27,-1,False,10000000
view,box,provisional_build,24,1,346,-1,False,10000000
view,box,prepare_colliders,24,1,44,-1,False,10000000
view,box,adopt_colliders,24,1,26,-1,False,10000000
view,box,provisional_build,25,1,344,-1,False,10000000
view,box,prepare_colliders,25,1,45,-1,False,10000000
view,box,adopt_colliders,25,1,26,-1,False,10000000
view,box,provisional_build,26,1,337,-1,False,10000000
view,box,prepare_colliders,26,1,41,-1,False,10000000
view,box,adopt_colliders,26,1,27,-1,False,10000000
view,box,provisional_build,27,1,364,-1,False,10000000
view,box,prepare_colliders,27,1,50,-1,False,10000000
view,box,adopt_colliders,27,1,25,-1,False,10000000
view,box,provisional_build,28,1,368,-1,False,10000000
view,box,prepare_colliders,28,1,56,-1,False,10000000
view,box,adopt_colliders,28,1,26,-1,False,10000000
view,box,provisional_build,29,1,344,-1,False,10000000
view,box,prepare_colliders,29,1,42,-1,False,10000000
view,box,adopt_colliders,29,1,27,-1,False,10000000
view,box,provisional_build,30,1,337,-1,False,10000000
view,box,prepare_colliders,30,1,42,-1,False,10000000
view,box,adopt_colliders,30,1,27,-1,False,10000000
view,box,provisional_build,31,1,335,-1,False,10000000
view,box,prepare_colliders,31,1,43,-1,False,10000000
view,box,adopt_colliders,31,1,27,-1,False,10000000
view,box,provisional_build,32,1,341,-1,False,10000000
view,box,prepare_colliders,32,1,45,-1,False,10000000
view,box,adopt_colliders,32,1,27,-1,False,10000000
view,box,provisional_build,33,1,361,-1,False,10000000
view,box,prepare_colliders,33,1,42,-1,False,10000000
