variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"view",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,920,10000000,22.4609375,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,840,10000000,20.5078125,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,947,10000000,23.1201171875,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,839,10000000,20.4833984375,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,838,10000000,20.458984375,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,839,10000000,20.4833984375,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,839,10000000,20.4833984375,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,839,10000000,20.4833984375,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,836,10000000,20.41015625,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,838,10000000,20.458984375,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,838,10000000,20.458984375,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,953,10000000,23.2666015625,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,838,10000000,20.458984375,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,836,10000000,20.41015625,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,836,10000000,20.41015625,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,838,10000000,20.458984375,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,2711,10000000,66.1865234375,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,2014,10000000,49.169921875,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,1954,10000000,47.705078125,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,1971,10000000,48.1201171875,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,2957,10000000,72.1923828125,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,1972,10000000,48.14453125,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,1970,10000000,48.095703125,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,1974,10000000,48.193359375,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,1961,10000000,47.8759765625,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,1,4096,4096,4096,1988,10000000,48.53515625,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,2,4096,4096,4096,2000,10000000,48.828125,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,3,4096,4096,4096,1970,10000000,48.095703125,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,4,4096,4096,4096,1973,10000000,48.1689453125,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,5,4096,4096,4096,1972,10000000,48.14453125,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,6,4096,4096,4096,1956,10000000,47.75390625,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,7,4096,4096,4096,1957,10000000,47.7783203125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,0,4096,0,0,26525,10000000,647.5830078125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,1,4096,0,0,27183,10000000,663.6474609375,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,2,4096,0,0,26145,10000000,638.3056640625,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,3,4096,0,0,26660,10000000,650.87890625,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,4,4096,0,0,26832,10000000,655.078125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,5,4096,0,0,26313,10000000,642.4072265625,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,6,4096,0,0,26338,10000000,643.017578125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,7,4096,0,0,27322,10000000,667.041015625,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,0,4096,4096,4096,26388,10000000,644.23828125,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,1,4096,4096,4096,26728,10000000,652.5390625,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,2,4096,4096,4096,27118,10000000,662.060546875,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,3,4096,4096,4096,27390,10000000,668.701171875,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,4,4096,4096,4096,26437,10000000,645.4345703125,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,5,4096,4096,4096,26928,10000000,657.421875,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,6,4096,4096,4096,27365,10000000,668.0908203125,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,7,4096,4096,4096,26424,10000000,645.1171875,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,0,4096,0,0,80905,10000000,1975.2197265625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,1,4096,0,0,83994,10000000,2050.634765625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,2,4096,0,0,82756,10000000,2020.41015625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,3,4096,0,0,83471,10000000,2037.8662109375,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,4,4096,0,0,83125,10000000,2029.4189453125,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,5,4096,0,0,82910,10000000,2024.169921875,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,6,4096,0,0,83245,10000000,2032.3486328125,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,7,4096,0,0,81538,10000000,1990.673828125,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,0,4096,4096,4096,80199,10000000,1957.9833984375,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,1,4096,4096,4096,81389,10000000,1987.0361328125,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,2,4096,4096,4096,85123,10000000,2078.1982421875,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,3,4096,4096,4096,84868,10000000,2071.97265625,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,4,4096,4096,4096,77268,10000000,1886.42578125,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,5,4096,4096,4096,78262,10000000,1910.693359375,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,6,4096,4096,4096,74617,10000000,1821.7041015625,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,7,4096,4096,4096,76894,10000000,1877.294921875,0,false,0
