variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
mass,box,shape_pair_create_dispose,0,256,4978,-1,False,10000000
mass,box,shape_pair_create_dispose,1,256,5141,-1,False,10000000
mass,box,shape_pair_create_dispose,2,256,5128,-1,False,10000000
mass,box,shape_pair_create_dispose,3,256,5155,-1,False,10000000
mass,box,shape_pair_create_dispose,4,256,5088,-1,False,10000000
mass,box,shape_pair_create_dispose,5,256,5137,-1,False,10000000
mass,box,shape_pair_create_dispose,6,256,5294,-1,False,10000000
mass,box,shape_pair_create_dispose,7,256,5164,-1,False,10000000
mass,box,box_mass_divide,0,1024,42122,-1,False,10000000
mass,box,box_mass_divide,1,1024,41385,-1,False,10000000
mass,box,box_mass_divide,2,1024,41721,-1,False,10000000
mass,box,box_mass_divide,3,1024,41483,-1,False,10000000
mass,box,box_mass_divide,4,1024,41922,-1,False,10000000
mass,box,box_mass_divide,5,1024,40830,-1,False,10000000
mass,box,box_mass_divide,6,1024,41282,-1,False,10000000
mass,box,box_mass_divide,7,1024,40751,-1,False,10000000
mass,box,provisional_build,0,1,471,-1,False,10000000
mass,box,prepare_colliders,0,1,64,-1,False,10000000
mass,box,adopt_colliders,0,1,36,-1,False,10000000
mass,box,provisional_build,1,1,468,-1,False,10000000
mass,box,prepare_colliders,1,1,55,-1,False,10000000
mass,box,adopt_colliders,1,1,31,-1,False,10000000
mass,box,provisional_build,2,1,449,-1,False,10000000
mass,box,prepare_colliders,2,1,54,-1,False,10000000
mass,box,adopt_colliders,2,1,31,-1,False,10000000
mass,box,provisional_build,3,1,454,-1,False,10000000
mass,box,prepare_colliders,3,1,53,-1,False,10000000
mass,box,adopt_colliders,3,1,33,-1,False,10000000
mass,box,provisional_build,4,1,448,-1,False,10000000
mass,box,prepare_colliders,4,1,52,-1,False,10000000
mass,box,adopt_colliders,4,1,30,-1,False,10000000
mass,box,provisional_build,5,1,437,-1,False,10000000
mass,box,prepare_colliders,5,1,54,-1,False,10000000
mass,box,adopt_colliders,5,1,31,-1,False,10000000
mass,box,provisional_build,6,1,438,-1,False,10000000
mass,box,prepare_colliders,6,1,58,-1,False,10000000
mass,box,adopt_colliders,6,1,32,-1,False,10000000
mass,box,provisional_build,7,1,431,-1,False,10000000
mass,box,prepare_colliders,7,1,63,-1,False,10000000
mass,box,adopt_colliders,7,1,31,-1,False,10000000
mass,box,provisional_build,8,1,423,-1,False,10000000
mass,box,prepare_colliders,8,1,65,-1,False,10000000
mass,box,adopt_colliders,8,1,30,-1,False,10000000
mass,box,provisional_build,9,1,417,-1,False,10000000
mass,box,prepare_colliders,9,1,57,-1,False,10000000
mass,box,adopt_colliders,9,1,30,-1,False,10000000
mass,box,provisional_build,10,1,520,-1,False,10000000
mass,box,prepare_colliders,10,1,54,-1,False,10000000
mass,box,adopt_colliders,10,1,34,-1,False,10000000
mass,box,provisional_build,11,1,416,-1,False,10000000
mass,box,prepare_colliders,11,1,57,-1,False,10000000
mass,box,adopt_colliders,11,1,31,-1,False,10000000
mass,box,provisional_build,12,1,440,-1,False,10000000
mass,box,prepare_colliders,12,1,53,-1,False,10000000
mass,box,adopt_colliders,12,1,31,-1,False,10000000
mass,box,provisional_build,13,1,441,-1,False,10000000
mass,box,prepare_colliders,13,1,56,-1,False,10000000
mass,box,adopt_colliders,13,1,30,-1,False,10000000
mass,box,provisional_build,14,1,427,-1,False,10000000
mass,box,prepare_colliders,14,1,67,-1,False,10000000
mass,box,adopt_colliders,14,1,31,-1,False,10000000
mass,box,provisional_build,15,1,439,-1,False,10000000
mass,box,prepare_colliders,15,1,58,-1,False,10000000
mass,box,adopt_colliders,15,1,32,-1,False,10000000
mass,box,provisional_build,16,1,407,-1,False,10000000
mass,box,prepare_colliders,16,1,53,-1,False,10000000
mass,box,adopt_colliders,16,1,31,-1,False,10000000
mass,box,provisional_build,17,1,417,-1,False,10000000
mass,box,prepare_colliders,17,1,53,-1,False,10000000
mass,box,adopt_colliders,17,1,31,-1,False,10000000
mass,box,provisional_build,18,1,469,-1,False,10000000
mass,box,prepare_colliders,18,1,54,-1,False,10000000
mass,box,adopt_colliders,18,1,31,-1,False,10000000
mass,box,provisional_build,19,1,405,-1,False,10000000
mass,box,prepare_colliders,19,1,56,-1,False,10000000
mass,box,adopt_colliders,19,1,31,-1,False,10000000
mass,box,provisional_build,20,1,418,-1,False,10000000
mass,box,prepare_colliders,20,1,56,-1,False,10000000
mass,box,adopt_colliders,20,1,30,-1,False,10000000
mass,box,provisional_build,21,1,430,-1,False,10000000
mass,box,prepare_colliders,21,1,60,-1,False,10000000
mass,box,adopt_colliders,21,1,28,-1,False,10000000
mass,box,provisional_build,22,1,405,-1,False,10000000
