variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
all,box,shape_pair_create_dispose,0,256,3641,-1,False,10000000
all,box,shape_pair_create_dispose,1,256,3739,-1,False,10000000
all,box,shape_pair_create_dispose,2,256,3686,-1,False,10000000
all,box,shape_pair_create_dispose,3,256,3617,-1,False,10000000
all,box,shape_pair_create_dispose,4,256,3657,-1,False,10000000
all,box,shape_pair_create_dispose,5,256,3765,-1,False,10000000
all,box,shape_pair_create_dispose,6,256,3737,-1,False,10000000
all,box,shape_pair_create_dispose,7,256,3765,-1,False,10000000
all,box,box_mass_divide,0,1024,42485,-1,False,10000000
all,box,box_mass_divide,1,1024,42219,-1,False,10000000
all,box,box_mass_divide,2,1024,43319,-1,False,10000000
all,box,box_mass_divide,3,1024,44435,-1,False,10000000
all,box,box_mass_divide,4,1024,42315,-1,False,10000000
all,box,box_mass_divide,5,1024,43814,-1,False,10000000
all,box,box_mass_divide,6,1024,46526,-1,False,10000000
all,box,box_mass_divide,7,1024,41912,-1,False,10000000
all,box,provisional_build,0,1,365,-1,False,10000000
all,box,prepare_colliders,0,1,47,-1,False,10000000
all,box,adopt_colliders,0,1,30,-1,False,10000000
all,box,provisional_build,1,1,388,-1,False,10000000
all,box,prepare_colliders,1,1,47,-1,False,10000000
all,box,adopt_colliders,1,1,28,-1,False,10000000
all,box,provisional_build,2,1,381,-1,False,10000000
all,box,prepare_colliders,2,1,48,-1,False,10000000
all,box,adopt_colliders,2,1,29,-1,False,10000000
all,box,provisional_build,3,1,375,-1,False,10000000
all,box,prepare_colliders,3,1,43,-1,False,10000000
all,box,adopt_colliders,3,1,28,-1,False,10000000
all,box,provisional_build,4,1,374,-1,False,10000000
all,box,prepare_colliders,4,1,1919,-1,False,10000000
all,box,adopt_colliders,4,1,112,-1,False,10000000
all,box,provisional_build,5,1,776,-1,False,10000000
all,box,prepare_colliders,5,1,66,-1,False,10000000
all,box,adopt_colliders,5,1,41,-1,False,10000000
all,box,provisional_build,6,1,674,-1,False,10000000
all,box,prepare_colliders,6,1,54,-1,False,10000000
all,box,adopt_colliders,6,1,38,-1,False,10000000
all,box,provisional_build,7,1,435,-1,False,10000000
all,box,prepare_colliders,7,1,44,-1,False,10000000
all,box,adopt_colliders,7,1,178,-1,False,10000000
all,box,provisional_build,8,1,577,-1,False,10000000
all,box,prepare_colliders,8,1,52,-1,False,10000000
all,box,adopt_colliders,8,1,28,-1,False,10000000
all,box,provisional_build,9,1,382,-1,False,10000000
all,box,prepare_colliders,9,1,54,-1,False,10000000
all,box,adopt_colliders,9,1,29,-1,False,10000000
all,box,provisional_build,10,1,376,-1,False,10000000
all,box,prepare_colliders,10,1,46,-1,False,10000000
all,box,adopt_colliders,10,1,29,-1,False,10000000
all,box,provisional_build,11,1,380,-1,False,10000000
all,box,prepare_colliders,11,1,57,-1,False,10000000
all,box,adopt_colliders,11,1,28,-1,False,10000000
all,box,provisional_build,12,1,370,-1,False,10000000
all,box,prepare_colliders,12,1,47,-1,False,10000000
all,box,adopt_colliders,12,1,29,-1,False,10000000
all,box,provisional_build,13,1,1677,-1,False,10000000
all,box,prepare_colliders,13,1,61,-1,False,10000000
all,box,adopt_colliders,13,1,36,-1,False,10000000
all,box,provisional_build,14,1,395,-1,False,10000000
all,box,prepare_colliders,14,1,53,-1,False,10000000
all,box,adopt_colliders,14,1,30,-1,False,10000000
all,box,provisional_build,15,1,379,-1,False,10000000
all,box,prepare_colliders,15,1,45,-1,False,10000000
all,box,adopt_colliders,15,1,28,-1,False,10000000
all,box,provisional_build,16,1,373,-1,False,10000000
all,box,prepare_colliders,16,1,52,-1,False,10000000
all,box,adopt_colliders,16,1,29,-1,False,10000000
all,box,provisional_build,17,1,369,-1,False,10000000
all,box,prepare_colliders,17,1,48,-1,False,10000000
all,box,adopt_colliders,17,1,29,-1,False,10000000
all,box,provisional_build,18,1,415,-1,False,10000000
all,box,prepare_colliders,18,1,42,-1,False,10000000
all,box,adopt_colliders,18,1,27,-1,False,10000000
all,box,provisional_build,19,1,355,-1,False,10000000
all,box,prepare_colliders,19,1,58,-1,False,10000000
all,box,adopt_colliders,19,1,27,-1,False,10000000
all,box,provisional_build,20,1,349,-1,False,10000000
all,box,prepare_colliders,20,1,45,-1,False,10000000
all,box,adopt_colliders,20,1,25,-1,False,10000000
all,box,provisional_build,21,1,354,-1,False,10000000
all,box,prepare_colliders,21,1,49,-1,False,10000000
all,box,adopt_colliders,21,1,27,-1,False,10000000
all,box,provisional_build,22,1,374,-1,False,10000000
all,box,prepare_colliders,22,1,47,-1,False,10000000
all,box,adopt_colliders,22,1,27,-1,False,10000000
all,box,provisional_build,23,1,352,-1,False,10000000
all,box,prepare_colliders,23,1,58,-1,False,10000000
all,box,adopt_colliders,23,1,27,-1,False,10000000
all,box,provisional_build,24,1,366,-1,False,10000000
all,box,prepare_colliders,24,1,43,-1,False,10000000
all,box,adopt_colliders,24,1,28,-1,False,10000000
all,box,provisional_build,25,1,359,-1,False,10000000
all,box,prepare_colliders,25,1,47,-1,False,10000000
all,box,adopt_colliders,25,1,29,-1,False,10000000
all,box,provisional_build,26,1,359,-1,False,10000000
all,box,prepare_colliders,26,1,44,-1,False,10000000
all,box,adopt_colliders,26,1,26,-1,False,10000000
all,box,provisional_build,27,1,369,-1,False,10000000
all,box,prepare_colliders,27,1,48,-1,False,10000000
all,box,adopt_colliders,27,1,28,-1,False,10000000
all,box,provisional_build,28,1,361,-1,False,10000000
all,box,prepare_colliders,28,1,45,-1,False,10000000
all,box,adopt_colliders,28,1,28,-1,False,10000000
all,box,provisional_build,29,1,374,-1,False,10000000
all,box,prepare_colliders,29,1,45,-1,False,10000000
all,box,adopt_colliders,29,1,28,-1,False,10000000
all,box,provisional_build,30,1,368,-1,False,10000000
all,box,prepare_colliders,30,1,50,-1,False,10000000
all,box,adopt_colliders,30,1,28,-1,False,10000000
all,box,provisional_build,31,1,363,-1,False,10000000
all,box,prepare_colliders,31,1,52,-1,False,10000000
all,box,adopt_colliders,31,1,27,-1,False,10000000
all,box,provisional_build,32,1,370,-1,False,10000000
all,box,prepare_colliders,32,1,45,-1,False,10000000
all,box,adopt_colliders,32,1,27,-1,False,10000000
all,box,provisional_build,33,1,355,-1,False,10000000
all,box,prepare_colliders,33,1,52,-1,False,10000000
all,box,adopt_colliders,33,1,27,-1,False,10000000
all,box,provisional_build,34,1,345,-1,False,10000000
all,box,prepare_colliders,34,1,46,-1,False,10000000
all,box,adopt_colliders,34,1,30,-1,False,10000000
all,box,provisional_build,35,1,357,-1,False,10000000
all,box,prepare_colliders,35,1,49,-1,False,10000000
all,box,adopt_colliders,35,1,28,-1,False,10000000
all,box,provisional_build,36,1,371,-1,False,10000000
all,box,prepare_colliders,36,1,48,-1,False,10000000
all,box,adopt_colliders,36,1,30,-1,False,10000000
all,box,provisional_build,37,1,352,-1,False,10000000
all,box,prepare_colliders,37,1,43,-1,False,10000000
all,box,adopt_colliders,37,1,28,-1,False,10000000
all,box,provisional_build,38,1,362,-1,False,10000000
all,box,prepare_colliders,38,1,44,-1,False,10000000
all,box,adopt_colliders,38,1,28,-1,False,10000000
all,box,provisional_build,39,1,356,-1,False,10000000
all,box,prepare_colliders,39,1,45,-1,False,10000000
all,box,adopt_colliders,39,1,28,-1,False,10000000
all,box,provisional_build,40,1,361,-1,False,10000000
all,box,prepare_colliders,40,1,50,-1,False,10000000
all,box,adopt_colliders,40,1,27,-1,False,10000000
all,box,provisional_build,41,1,421,-1,False,10000000
all,box,prepare_colliders,41,1,46,-1,False,10000000
all,box,adopt_colliders,41,1,30,-1,False,10000000
all,box,provisional_build,42,1,367,-1,False,10000000
all,box,prepare_colliders,42,1,43,-1,False,10000000
all,box,adopt_colliders,42,1,29,-1,False,10000000
all,box,provisional_build,43,1,357,-1,False,10000000
all,box,prepare_colliders,43,1,52,-1,False,10000000
all,box,adopt_colliders,43,1,28,-1,False,10000000
all,box,provisional_build,44,1,367,-1,False,10000000
all,box,prepare_colliders,44,1,48,-1,False,10000000
all,box,adopt_colliders,44,1,27,-1,False,10000000
all,box,provisional_build,45,1,361,-1,False,10000000
all,box,prepare_colliders,45,1,67,-1,False,10000000
all,box,adopt_colliders,45,1,27,-1,False,10000000
all,box,provisional_build,46,1,339,-1,False,10000000
all,box,prepare_colliders,46,1,40,-1,False,10000000
all,box,adopt_colliders,46,1,24,-1,False,10000000
all,box,provisional_build,47,1,366,-1,False,10000000
all,box,prepare_colliders,47,1,46,-1,False,10000000
all,box,adopt_colliders,47,1,24,-1,False,10000000
all,box,provisional_build,48,1,356,-1,False,10000000
all,box,prepare_colliders,48,1,44,-1,False,10000000
all,box,adopt_colliders,48,1,30,-1,False,10000000
all,box,provisional_build,49,1,351,-1,False,10000000
all,box,prepare_colliders,49,1,55,-1,False,10000000
all,box,adopt_colliders,49,1,30,-1,False,10000000
all,box,provisional_build,50,1,356,-1,False,10000000
all,box,prepare_colliders,50,1,43,-1,False,10000000
all,box,adopt_colliders,50,1,28,-1,False,10000000
all,box,provisional_build,51,1,363,-1,False,10000000
all,box,prepare_colliders,51,1,45,-1,False,10000000
all,box,adopt_colliders,51,1,26,-1,False,10000000
all,box,provisional_build,52,1,365,-1,False,10000000
all,box,prepare_colliders,52,1,42,-1,False,10000000
all,box,adopt_colliders,52,1,28,-1,False,10000000
all,box,provisional_build,53,1,333,-1,False,10000000
all,box,prepare_colliders,53,1,49,-1,False,10000000
all,box,adopt_colliders,53,1,23,-1,False,10000000
all,box,provisional_build,54,1,343,-1,False,10000000
all,box,prepare_colliders,54,1,43,-1,False,10000000
all,box,adopt_colliders,54,1,25,-1,False,10000000
all,box,provisional_build,55,1,325,-1,False,10000000
all,box,prepare_colliders,55,1,55,-1,False,10000000
all,box,adopt_colliders,55,1,25,-1,False,10000000
all,box,provisional_build,56,1,337,-1,False,10000000
all,box,prepare_colliders,56,1,53,-1,False,10000000
all,box,adopt_colliders,56,1,25,-1,False,10000000
all,box,provisional_build,57,1,328,-1,False,10000000
all,box,prepare_colliders,57,1,39,-1,False,10000000
all,box,adopt_colliders,57,1,22,-1,False,10000000
all,box,provisional_build,58,1,359,-1,False,10000000
all,box,prepare_colliders,58,1,51,-1,False,10000000
all,box,adopt_colliders,58,1,27,-1,False,10000000
all,box,provisional_build,59,1,361,-1,False,10000000
all,box,prepare_colliders,59,1,43,-1,False,10000000
all,box,adopt_colliders,59,1,28,-1,False,10000000
all,box,provisional_build,60,1,372,-1,False,10000000
all,box,prepare_colliders,60,1,50,-1,False,10000000
all,box,adopt_colliders,60,1,30,-1,False,10000000
all,box,provisional_build,61,1,347,-1,False,10000000
all,box,prepare_colliders,61,1,46,-1,False,10000000
all,box,adopt_colliders,61,1,27,-1,False,10000000
all,box,provisional_build,62,1,369,-1,False,10000000
all,box,prepare_colliders,62,1,50,-1,False,10000000
all,box,adopt_colliders,62,1,28,-1,False,10000000
all,box,provisional_build,63,1,378,-1,False,10000000
all,box,prepare_colliders,63,1,45,-1,False,10000000
all,box,adopt_colliders,63,1,28,-1,False,10000000
all,character,shape_pair_create_dispose,0,256,8978,-1,False,10000000
all,character,shape_pair_create_dispose,1,256,9010,-1,False,10000000
all,character,shape_pair_create_dispose,2,256,9090,-1,False,10000000
all,character,shape_pair_create_dispose,3,256,9036,-1,False,10000000
all,character,shape_pair_create_dispose,4,256,9160,-1,False,10000000
all,character,shape_pair_create_dispose,5,256,9047,-1,False,10000000
all,character,shape_pair_create_dispose,6,256,8978,-1,False,10000000
all,character,shape_pair_create_dispose,7,256,8995,-1,False,10000000
all,character,box_mass_divide,0,1024,43512,-1,False,10000000
all,character,box_mass_divide,1,1024,44201,-1,False,10000000
all,character,box_mass_divide,2,1024,44325,-1,False,10000000
all,character,box_mass_divide,3,1024,45287,-1,False,10000000
all,character,box_mass_divide,4,1024,43583,-1,False,10000000
all,character,box_mass_divide,5,1024,43527,-1,False,10000000
all,character,box_mass_divide,6,1024,43451,-1,False,10000000
all,character,box_mass_divide,7,1024,42780,-1,False,10000000
all,character,provisional_build,0,1,734,-1,False,10000000
all,character,prepare_colliders,0,1,207,-1,False,10000000
all,character,adopt_colliders,0,1,108,-1,False,10000000
all,character,provisional_build,1,1,747,-1,False,10000000
all,character,prepare_colliders,1,1,191,-1,False,10000000
all,character,adopt_colliders,1,1,106,-1,False,10000000
all,character,provisional_build,2,1,753,-1,False,10000000
all,character,prepare_colliders,2,1,294,-1,False,10000000
all,character,adopt_colliders,2,1,105,-1,False,10000000
all,character,provisional_build,3,1,727,-1,False,10000000
all,character,prepare_colliders,3,1,186,-1,False,10000000
all,character,adopt_colliders,3,1,105,-1,False,10000000
all,character,provisional_build,4,1,720,-1,False,10000000
all,character,prepare_colliders,4,1,197,-1,False,10000000
all,character,adopt_colliders,4,1,105,-1,False,10000000
all,character,provisional_build,5,1,740,-1,False,10000000
all,character,prepare_colliders,5,1,205,-1,False,10000000
all,character,adopt_colliders,5,1,104,-1,False,10000000
all,character,provisional_build,6,1,720,-1,False,10000000
all,character,prepare_colliders,6,1,188,-1,False,10000000
all,character,adopt_colliders,6,1,108,-1,False,10000000
all,character,provisional_build,7,1,730,-1,False,10000000
all,character,prepare_colliders,7,1,204,-1,False,10000000
all,character,adopt_colliders,7,1,104,-1,False,10000000
all,character,provisional_build,8,1,725,-1,False,10000000
all,character,prepare_colliders,8,1,191,-1,False,10000000
all,character,adopt_colliders,8,1,106,-1,False,10000000
all,character,provisional_build,9,1,726,-1,False,10000000
all,character,prepare_colliders,9,1,192,-1,False,10000000
all,character,adopt_colliders,9,1,105,-1,False,10000000
all,character,provisional_build,10,1,767,-1,False,10000000
all,character,prepare_colliders,10,1,215,-1,False,10000000
all,character,adopt_colliders,10,1,107,-1,False,10000000
all,character,provisional_build,11,1,707,-1,False,10000000
all,character,prepare_colliders,11,1,181,-1,False,10000000
all,character,adopt_colliders,11,1,104,-1,False,10000000
all,character,provisional_build,12,1,702,-1,False,10000000
all,character,prepare_colliders,12,1,191,-1,False,10000000
all,character,adopt_colliders,12,1,106,-1,False,10000000
all,character,provisional_build,13,1,703,-1,False,10000000
all,character,prepare_colliders,13,1,195,-1,False,10000000
all,character,adopt_colliders,13,1,103,-1,False,10000000
all,character,provisional_build,14,1,696,-1,False,10000000
all,character,prepare_colliders,14,1,299,-1,False,10000000
all,character,adopt_colliders,14,1,112,-1,False,10000000
all,character,provisional_build,15,1,718,-1,False,10000000
all,character,prepare_colliders,15,1,181,-1,False,10000000
all,character,adopt_colliders,15,1,106,-1,False,10000000
all,character,provisional_build,16,1,701,-1,False,10000000
all,character,prepare_colliders,16,1,195,-1,False,10000000
all,character,adopt_colliders,16,1,111,-1,False,10000000
all,character,provisional_build,17,1,720,-1,False,10000000
all,character,prepare_colliders,17,1,183,-1,False,10000000
all,character,adopt_colliders,17,1,104,-1,False,10000000
all,character,provisional_build,18,1,716,-1,False,10000000
all,character,prepare_colliders,18,1,185,-1,False,10000000
all,character,adopt_colliders,18,1,108,-1,False,10000000
all,character,provisional_build,19,1,705,-1,False,10000000
all,character,prepare_colliders,19,1,194,-1,False,10000000
all,character,adopt_colliders,19,1,106,-1,False,10000000
all,character,provisional_build,20,1,707,-1,False,10000000
all,character,prepare_colliders,20,1,179,-1,False,10000000
all,character,adopt_colliders,20,1,116,-1,False,10000000
all,character,provisional_build,21,1,723,-1,False,10000000
all,character,prepare_colliders,21,1,196,-1,False,10000000
all,character,adopt_colliders,21,1,108,-1,False,10000000
all,character,provisional_build,22,1,707,-1,False,10000000
all,character,prepare_colliders,22,1,184,-1,False,10000000
all,character,adopt_colliders,22,1,110,-1,False,10000000
all,character,provisional_build,23,1,720,-1,False,10000000
all,character,prepare_colliders,23,1,192,-1,False,10000000
all,character,adopt_colliders,23,1,108,-1,False,10000000
all,character,provisional_build,24,1,714,-1,False,10000000
all,character,prepare_colliders,24,1,193,-1,False,10000000
all,character,adopt_colliders,24,1,108,-1,False,10000000
all,character,provisional_build,25,1,723,-1,False,10000000
all,character,prepare_colliders,25,1,187,-1,False,10000000
all,character,adopt_colliders,25,1,106,-1,False,10000000
all,character,provisional_build,26,1,728,-1,False,10000000
all,character,prepare_colliders,26,1,187,-1,False,10000000
all,character,adopt_colliders,26,1,111,-1,False,10000000
all,character,provisional_build,27,1,730,-1,False,10000000
all,character,prepare_colliders,27,1,184,-1,False,10000000
all,character,adopt_colliders,27,1,107,-1,False,10000000
all,character,provisional_build,28,1,728,-1,False,10000000
all,character,prepare_colliders,28,1,193,-1,False,10000000
