variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"all",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,94,10000000,2.294921875,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,95,10000000,2.3193359375,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,94,10000000,2.294921875,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,95,10000000,2.3193359375,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,94,10000000,2.294921875,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,95,10000000,2.3193359375,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,95,10000000,2.3193359375,0,false,0
"all",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,86,10000000,2.099609375,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,86,10000000,2.099609375,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,85,10000000,2.0751953125,0,false,0
"all",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,87,10000000,2.1240234375,0,false,0
