variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"mass",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,889,10000000,21.7041015625,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,1233,10000000,30.1025390625,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,908,10000000,22.16796875,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,1233,10000000,30.1025390625,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,909,10000000,22.1923828125,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,908,10000000,22.16796875,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,906,10000000,22.119140625,0,false,0
"mass",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,909,10000000,22.1923828125,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,903,10000000,22.0458984375,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,904,10000000,22.0703125,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,901,10000000,21.9970703125,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,902,10000000,22.021484375,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,901,10000000,21.9970703125,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,904,10000000,22.0703125,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,901,10000000,21.9970703125,0,false,0
"mass",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,901,10000000,21.9970703125,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,2112,10000000,51.5625,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,2121,10000000,51.7822265625,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,2112,10000000,51.5625,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,2226,10000000,54.345703125,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,2127,10000000,51.9287109375,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,1767,10000000,43.1396484375,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,2132,10000000,52.05078125,0,false,0
"mass",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,2123,10000000,51.8310546875,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,2137,10000000,52.1728515625,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,1,4096,4096,4096,2120,10000000,51.7578125,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,2,4096,4096,4096,2137,10000000,52.1728515625,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,3,4096,4096,4096,2107,10000000,51.4404296875,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,4,4096,4096,4096,1761,10000000,42.9931640625,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,5,4096,4096,4096,2119,10000000,51.7333984375,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,6,4096,4096,4096,2114,10000000,51.611328125,0,false,0
"mass",live32,representative,late_duplicate,32,32,2048,4096,7,4096,4096,4096,2120,10000000,51.7578125,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,0,4096,0,0,28350,10000000,692.138671875,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,1,4096,0,0,29016,10000000,708.3984375,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,2,4096,0,0,30346,10000000,740.869140625,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,3,4096,0,0,30092,10000000,734.66796875,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,4,4096,0,0,29743,10000000,726.1474609375,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,5,4096,0,0,32105,10000000,783.8134765625,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,6,4096,0,0,30729,10000000,750.2197265625,0,false,0
"mass",live512,stress,unregistered,512,512,2048,4096,7,4096,0,0,30855,10000000,753.2958984375,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,0,4096,4096,4096,30425,10000000,742.7978515625,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,1,4096,4096,4096,32223,10000000,786.6943359375,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,2,4096,4096,4096,30336,10000000,740.625,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,3,4096,4096,4096,30205,10000000,737.4267578125,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,4,4096,4096,4096,30467,10000000,743.8232421875,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,5,4096,4096,4096,30553,10000000,745.9228515625,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,6,4096,4096,4096,30599,10000000,747.0458984375,0,false,0
"mass",live512,stress,late_duplicate,512,512,2048,4096,7,4096,4096,4096,30902,10000000,754.443359375,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,0,4096,0,0,90492,10000000,2209.27734375,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,1,4096,0,0,86432,10000000,2110.15625,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,2,4096,0,0,84968,10000000,2074.4140625,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,3,4096,0,0,84569,10000000,2064.6728515625,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,4,4096,0,0,84366,10000000,2059.716796875,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,5,4096,0,0,89870,10000000,2194.091796875,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,6,4096,0,0,89867,10000000,2194.0185546875,0,false,0
"mass",highwater2048_live16,stress,unregistered,16,2048,2048,4096,7,4096,0,0,82898,10000000,2023.876953125,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,0,4096,4096,4096,82449,10000000,2012.9150390625,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,1,4096,4096,4096,82695,10000000,2018.9208984375,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,2,4096,4096,4096,80881,10000000,1974.6337890625,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,3,4096,4096,4096,82851,10000000,2022.7294921875,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,4,4096,4096,4096,82074,10000000,2003.759765625,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,5,4096,4096,4096,88184,10000000,2152.9296875,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,6,4096,4096,4096,82255,10000000,2008.1787109375,0,false,0
"mass",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,7,4096,4096,4096,82250,10000000,2008.056640625,0,false,0
