variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
colliders,box,shape_pair_create_dispose,0,256,4616,-1,False,10000000
colliders,box,shape_pair_create_dispose,1,256,4621,-1,False,10000000
colliders,box,shape_pair_create_dispose,2,256,4516,-1,False,10000000
colliders,box,shape_pair_create_dispose,3,256,4524,-1,False,10000000
colliders,box,shape_pair_create_dispose,4,256,4599,-1,False,10000000
colliders,box,shape_pair_create_dispose,5,256,4702,-1,False,10000000
colliders,box,shape_pair_create_dispose,6,256,4546,-1,False,10000000
colliders,box,shape_pair_create_dispose,7,256,4466,-1,False,10000000
colliders,box,box_mass_divide,0,1024,40559,-1,False,10000000
colliders,box,box_mass_divide,1,1024,39998,-1,False,10000000
colliders,box,box_mass_divide,2,1024,39861,-1,False,10000000
colliders,box,box_mass_divide,3,1024,41237,-1,False,10000000
colliders,box,box_mass_divide,4,1024,42652,-1,False,10000000
colliders,box,box_mass_divide,5,1024,38889,-1,False,10000000
colliders,box,box_mass_divide,6,1024,39152,-1,False,10000000
colliders,box,box_mass_divide,7,1024,41248,-1,False,10000000
colliders,box,provisional_build,0,1,364,-1,False,10000000
colliders,box,prepare_colliders,0,1,56,-1,False,10000000
colliders,box,adopt_colliders,0,1,28,-1,False,10000000
colliders,box,provisional_build,1,1,375,-1,False,10000000
colliders,box,prepare_colliders,1,1,55,-1,False,10000000
colliders,box,adopt_colliders,1,1,26,-1,False,10000000
colliders,box,provisional_build,2,1,356,-1,False,10000000
colliders,box,prepare_colliders,2,1,46,-1,False,10000000
colliders,box,adopt_colliders,2,1,28,-1,False,10000000
colliders,box,provisional_build,3,1,406,-1,False,10000000
colliders,box,prepare_colliders,3,1,50,-1,False,10000000
colliders,box,adopt_colliders,3,1,27,-1,False,10000000
colliders,box,provisional_build,4,1,347,-1,False,10000000
colliders,box,prepare_colliders,4,1,50,-1,False,10000000
colliders,box,adopt_colliders,4,1,25,-1,False,10000000
colliders,box,provisional_build,5,1,392,-1,False,10000000
colliders,box,prepare_colliders,5,1,42,-1,False,10000000
colliders,box,adopt_colliders,5,1,22,-1,False,10000000
colliders,box,provisional_build,6,1,383,-1,False,10000000
colliders,box,prepare_colliders,6,1,53,-1,False,10000000
colliders,box,adopt_colliders,6,1,28,-1,False,10000000
colliders,box,provisional_build,7,1,376,-1,False,10000000
colliders,box,prepare_colliders,7,1,60,-1,False,10000000
colliders,box,adopt_colliders,7,1,27,-1,False,10000000
colliders,box,provisional_build,8,1,351,-1,False,10000000
colliders,box,prepare_colliders,8,1,57,-1,False,10000000
colliders,box,adopt_colliders,8,1,27,-1,False,10000000
colliders,box,provisional_build,9,1,354,-1,False,10000000
colliders,box,prepare_colliders,9,1,47,-1,False,10000000
colliders,box,adopt_colliders,9,1,25,-1,False,10000000
colliders,box,provisional_build,10,1,356,-1,False,10000000
colliders,box,prepare_colliders,10,1,53,-1,False,10000000
colliders,box,adopt_colliders,10,1,26,-1,False,10000000
colliders,box,provisional_build,11,1,367,-1,False,10000000
colliders,box,prepare_colliders,11,1,55,-1,False,10000000
colliders,box,adopt_colliders,11,1,25,-1,False,10000000
colliders,box,provisional_build,12,1,373,-1,False,10000000
colliders,box,prepare_colliders,12,1,44,-1,False,10000000
colliders,box,adopt_colliders,12,1,27,-1,False,10000000
colliders,box,provisional_build,13,1,358,-1,False,10000000
colliders,box,prepare_colliders,13,1,43,-1,False,10000000
colliders,box,adopt_colliders,13,1,27,-1,False,10000000
colliders,box,provisional_build,14,1,361,-1,False,10000000
colliders,box,prepare_colliders,14,1,45,-1,False,10000000
colliders,box,adopt_colliders,14,1,27,-1,False,10000000
colliders,box,provisional_build,15,1,364,-1,False,10000000
colliders,box,prepare_colliders,15,1,48,-1,False,10000000
colliders,box,adopt_colliders,15,1,27,-1,False,10000000
colliders,box,provisional_build,16,1,352,-1,False,10000000
colliders,box,prepare_colliders,16,1,43,-1,False,10000000
colliders,box,adopt_colliders,16,1,27,-1,False,10000000
colliders,box,provisional_build,17,1,358,-1,False,10000000
colliders,box,prepare_colliders,17,1,44,-1,False,10000000
colliders,box,adopt_colliders,17,1,27,-1,False,10000000
colliders,box,provisional_build,18,1,395,-1,False,10000000
colliders,box,prepare_colliders,18,1,58,-1,False,10000000
colliders,box,adopt_colliders,18,1,27,-1,False,10000000
colliders,box,provisional_build,19,1,350,-1,False,10000000
colliders,box,prepare_colliders,19,1,48,-1,False,10000000
colliders,box,adopt_colliders,19,1,26,-1,False,10000000
colliders,box,provisional_build,20,1,349,-1,False,10000000
colliders,box,prepare_colliders,20,1,43,-1,False,10000000
colliders,box,adopt_colliders,20,1,27,-1,False,10000000
colliders,box,provisional_build,21,1,345,-1,False,10000000
colliders,box,prepare_colliders,21,1,42,-1,False,10000000
colliders,box,adopt_colliders,21,1,25,-1,False,10000000
colliders,box,provisional_build,22,1,370,-1,False,10000000
colliders,box,prepare_colliders,22,1,48,-1,False,10000000
colliders,box,adopt_colliders,22,1,26,-1,False,10000000
colliders,box,provisional_build,23,1,352,-1,False,10000000
colliders,box,prepare_colliders,23,1,47,-1,False,10000000
colliders,box,adopt_colliders,23,1,26,-1,False,10000000
colliders,box,provisional_build,24,1,351,-1,False,10000000
colliders,box,prepare_colliders,24,1,43,-1,False,10000000
colliders,box,adopt_colliders,24,1,25,-1,False,10000000
colliders,box,provisional_build,25,1,365,-1,False,10000000
colliders,box,prepare_colliders,25,1,45,-1,False,10000000
colliders,box,adopt_colliders,25,1,26,-1,False,10000000
colliders,box,provisional_build,26,1,373,-1,False,10000000
colliders,box,prepare_colliders,26,1,42,-1,False,10000000
colliders,box,adopt_colliders,26,1,26,-1,False,10000000
colliders,box,provisional_build,27,1,355,-1,False,10000000
colliders,box,prepare_colliders,27,1,43,-1,False,10000000
colliders,box,adopt_colliders,27,1,28,-1,False,10000000
colliders,box,provisional_build,28,1,361,-1,False,10000000
colliders,box,prepare_colliders,28,1,49,-1,False,10000000
colliders,box,adopt_colliders,28,1,26,-1,False,10000000
colliders,box,provisional_build,29,1,354,-1,False,10000000
colliders,box,prepare_colliders,29,1,49,-1,False,10000000
colliders,box,adopt_colliders,29,1,27,-1,False,10000000
colliders,box,provisional_build,30,1,359,-1,False,10000000
colliders,box,prepare_colliders,30,1,44,-1,False,10000000
colliders,box,adopt_colliders,30,1,28,-1,False,10000000
colliders,box,provisional_build,31,1,345,-1,False,10000000
colliders,box,prepare_colliders,31,1,42,-1,False,10000000
colliders,box,adopt_colliders,31,1,26,-1,False,10000000
colliders,box,provisional_build,32,1,367,-1,False,10000000
colliders,box,prepare_colliders,32,1,45,-1,False,10000000
colliders,box,adopt_colliders,32,1,27,-1,False,10000000
colliders,box,provisional_build,33,1,362,-1,False,10000000
colliders,box,prepare_colliders,33,1,43,-1,False,10000000
colliders,box,adopt_colliders,33,1,26,-1,False,10000000
colliders,box,provisional_build,34,1,367,-1,False,10000000
colliders,box,prepare_colliders,34,1,45,-1,False,10000000
colliders,box,adopt_colliders,34,1,24,-1,False,10000000
colliders,box,provisional_build,35,1,365,-1,False,10000000
colliders,box,prepare_colliders,35,1,40,-1,False,10000000
colliders,box,adopt_colliders,35,1,26,-1,False,10000000
colliders,box,provisional_build,36,1,358,-1,False,10000000
colliders,box,prepare_colliders,36,1,44,-1,False,10000000
colliders,box,adopt_colliders,36,1,27,-1,False,10000000
colliders,box,provisional_build,37,1,357,-1,False,10000000
colliders,box,prepare_colliders,37,1,44,-1,False,10000000
colliders,box,adopt_colliders,37,1,27,-1,False,10000000
colliders,box,provisional_build,38,1,359,-1,False,10000000
colliders,box,prepare_colliders,38,1,51,-1,False,10000000
colliders,box,adopt_colliders,38,1,27,-1,False,10000000
colliders,box,provisional_build,39,1,354,-1,False,10000000
colliders,box,prepare_colliders,39,1,49,-1,False,10000000
colliders,box,adopt_colliders,39,1,28,-1,False,10000000
colliders,box,provisional_build,40,1,369,-1,False,10000000
