variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"colliders",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,1183,10000000,28.8818359375,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,938,10000000,22.900390625,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,1144,10000000,27.9296875,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,840,10000000,20.5078125,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,839,10000000,20.4833984375,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,898,10000000,21.923828125,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,840,10000000,20.5078125,0,false,0
"colliders",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,838,10000000,20.458984375,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,833,10000000,20.3369140625,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,894,10000000,21.826171875,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,860,10000000,20.99609375,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,837,10000000,20.4345703125,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,835,10000000,20.3857421875,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,836,10000000,20.41015625,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,835,10000000,20.3857421875,0,false,0
"colliders",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,835,10000000,20.3857421875,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,1963,10000000,47.9248046875,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,1955,10000000,47.7294921875,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,1974,10000000,48.193359375,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,1969,10000000,48.0712890625,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,1630,10000000,39.794921875,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,1955,10000000,47.7294921875,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,1951,10000000,47.6318359375,0,false,0
"colliders",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,1957,10000000,47.7783203125,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,1971,10000000,48.1201171875,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,1,4096,4096,4096,2000,10000000,48.828125,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,2,4096,4096,4096,2212,10000000,54.00390625,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,3,4096,4096,4096,2141,10000000,52.2705078125,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,4,4096,4096,4096,1986,10000000,48.486328125,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,5,4096,4096,4096,2420,10000000,59.08203125,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,6,4096,4096,4096,1975,10000000,48.2177734375,0,false,0
"colliders",live32,representative,late_duplicate,32,32,2048,4096,7,4096,4096,4096,1967,10000000,48.0224609375,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,0,4096,0,0,26429,10000000,645.2392578125,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,1,4096,0,0,26661,10000000,650.9033203125,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,2,4096,0,0,26497,10000000,646.8994140625,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,3,4096,0,0,27450,10000000,670.166015625,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,4,4096,0,0,26725,10000000,652.4658203125,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,5,4096,0,0,26723,10000000,652.4169921875,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,6,4096,0,0,27458,10000000,670.361328125,0,false,0
"colliders",live512,stress,unregistered,512,512,2048,4096,7,4096,0,0,26669,10000000,651.0986328125,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,0,4096,4096,4096,27111,10000000,661.8896484375,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,1,4096,4096,4096,27568,10000000,673.046875,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,2,4096,4096,4096,26711,10000000,652.1240234375,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,3,4096,4096,4096,28039,10000000,684.5458984375,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,4,4096,4096,4096,27028,10000000,659.86328125,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,5,4096,4096,4096,26661,10000000,650.9033203125,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,6,4096,4096,4096,27485,10000000,671.0205078125,0,false,0
"colliders",live512,stress,late_duplicate,512,512,2048,4096,7,4096,4096,4096,27063,10000000,660.7177734375,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,0,4096,0,0,76483,10000000,1867.2607421875,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,1,4096,0,0,77076,10000000,1881.73828125,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,2,4096,0,0,76638,10000000,1871.044921875,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,3,4096,0,0,77133,10000000,1883.1298828125,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,4,4096,0,0,76599,10000000,1870.0927734375,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,5,4096,0,0,82627,10000000,2017.2607421875,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,6,4096,0,0,78630,10000000,1919.677734375,0,false,0
"colliders",highwater2048_live16,stress,unregistered,16,2048,2048,4096,7,4096,0,0,80628,10000000,1968.45703125,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,0,4096,4096,4096,79347,10000000,1937.1826171875,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,1,4096,4096,4096,79741,10000000,1946.8017578125,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,2,4096,4096,4096,79415,10000000,1938.8427734375,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,3,4096,4096,4096,81011,10000000,1977.8076171875,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,4,4096,4096,4096,86884,10000000,2121.19140625,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,5,4096,4096,4096,83351,10000000,2034.9365234375,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,6,4096,4096,4096,82072,10000000,2003.7109375,0,false,0
"colliders",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,7,4096,4096,4096,81815,10000000,1997.4365234375,0,false,0
