variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
o1,box,shape_pair_create_dispose,0,256,6224,-1,False,10000000
o1,box,shape_pair_create_dispose,1,256,6446,-1,False,10000000
o1,box,shape_pair_create_dispose,2,256,6232,-1,False,10000000
o1,box,shape_pair_create_dispose,3,256,6233,-1,False,10000000
o1,box,shape_pair_create_dispose,4,256,6633,-1,False,10000000
o1,box,shape_pair_create_dispose,5,256,6586,-1,False,10000000
o1,box,shape_pair_create_dispose,6,256,6377,-1,False,10000000
o1,box,shape_pair_create_dispose,7,256,6322,-1,False,10000000
o1,box,box_mass_divide,0,1024,47288,-1,False,10000000
o1,box,box_mass_divide,1,1024,48509,-1,False,10000000
o1,box,box_mass_divide,2,1024,51636,-1,False,10000000
o1,box,box_mass_divide,3,1024,49166,-1,False,10000000
o1,box,box_mass_divide,4,1024,47261,-1,False,10000000
o1,box,box_mass_divide,5,1024,46204,-1,False,10000000
o1,box,box_mass_divide,6,1024,46188,-1,False,10000000
o1,box,box_mass_divide,7,1024,45536,-1,False,10000000
o1,box,provisional_build,0,1,417,-1,False,10000000
o1,box,prepare_colliders,0,1,55,-1,False,10000000
o1,box,adopt_colliders,0,1,33,-1,False,10000000
o1,box,provisional_build,1,1,464,-1,False,10000000
o1,box,prepare_colliders,1,1,49,-1,False,10000000
o1,box,adopt_colliders,1,1,32,-1,False,10000000
o1,box,provisional_build,2,1,438,-1,False,10000000
o1,box,prepare_colliders,2,1,63,-1,False,10000000
o1,box,adopt_colliders,2,1,33,-1,False,10000000
o1,box,provisional_build,3,1,417,-1,False,10000000
o1,box,prepare_colliders,3,1,417,-1,False,10000000
o1,box,adopt_colliders,3,1,68,-1,False,10000000
o1,box,provisional_build,4,1,551,-1,False,10000000
o1,box,prepare_colliders,4,1,59,-1,False,10000000
o1,box,adopt_colliders,4,1,33,-1,False,10000000
o1,box,provisional_build,5,1,427,-1,False,10000000
o1,box,prepare_colliders,5,1,52,-1,False,10000000
o1,box,adopt_colliders,5,1,32,-1,False,10000000
o1,box,provisional_build,6,1,433,-1,False,10000000
o1,box,prepare_colliders,6,1,58,-1,False,10000000
o1,box,adopt_colliders,6,1,149,-1,False,10000000
o1,box,provisional_build,7,1,453,-1,False,10000000
o1,box,prepare_colliders,7,1,53,-1,False,10000000
o1,box,adopt_colliders,7,1,31,-1,False,10000000
o1,box,provisional_build,8,1,420,-1,False,10000000
o1,box,prepare_colliders,8,1,50,-1,False,10000000
o1,box,adopt_colliders,8,1,31,-1,False,10000000
o1,box,provisional_build,9,1,432,-1,False,10000000
o1,box,prepare_colliders,9,1,54,-1,False,10000000
o1,box,adopt_colliders,9,1,31,-1,False,10000000
o1,box,provisional_build,10,1,410,-1,False,10000000
o1,box,prepare_colliders,10,1,53,-1,False,10000000
o1,box,adopt_colliders,10,1,29,-1,False,10000000
o1,box,provisional_build,11,1,412,-1,False,10000000
o1,box,prepare_colliders,11,1,55,-1,False,10000000
o1,box,adopt_colliders,11,1,31,-1,False,10000000
o1,box,provisional_build,12,1,413,-1,False,10000000
o1,box,prepare_colliders,12,1,44,-1,False,10000000
o1,box,adopt_colliders,12,1,32,-1,False,10000000
o1,box,provisional_build,13,1,422,-1,False,10000000
o1,box,prepare_colliders,13,1,54,-1,False,10000000
o1,box,adopt_colliders,13,1,30,-1,False,10000000
o1,box,provisional_build,14,1,425,-1,False,10000000
o1,box,prepare_colliders,14,1,51,-1,False,10000000
o1,box,adopt_colliders,14,1,31,-1,False,10000000
o1,box,provisional_build,15,1,404,-1,False,10000000
o1,box,prepare_colliders,15,1,59,-1,False,10000000
o1,box,adopt_colliders,15,1,31,-1,False,10000000
o1,box,provisional_build,16,1,414,-1,False,10000000
o1,box,prepare_colliders,16,1,64,-1,False,10000000
o1,box,adopt_colliders,16,1,30,-1,False,10000000
o1,box,provisional_build,17,1,415,-1,False,10000000
o1,box,prepare_colliders,17,1,54,-1,False,10000000
o1,box,adopt_colliders,17,1,30,-1,False,10000000
o1,box,provisional_build,18,1,448,-1,False,10000000
o1,box,prepare_colliders,18,1,53,-1,False,10000000
o1,box,adopt_colliders,18,1,31,-1,False,10000000
o1,box,provisional_build,19,1,410,-1,False,10000000
o1,box,prepare_colliders,19,1,48,-1,False,10000000
o1,box,adopt_colliders,19,1,30,-1,False,10000000
o1,box,provisional_build,20,1,413,-1,False,10000000
o1,box,prepare_colliders,20,1,54,-1,False,10000000
o1,box,adopt_colliders,20,1,29,-1,False,10000000
o1,box,provisional_build,21,1,421,-1,False,10000000
o1,box,prepare_colliders,21,1,50,-1,False,10000000
o1,box,adopt_colliders,21,1,29,-1,False,10000000
o1,box,provisional_build,22,1,417,-1,False,10000000
o1,box,prepare_colliders,22,1,47,-1,False,10000000
o1,box,adopt_colliders,22,1,30,-1,False,10000000
o1,box,provisional_build,23,1,412,-1,False,10000000
o1,box,prepare_colliders,23,1,59,-1,False,10000000
o1,box,adopt_colliders,23,1,31,-1,False,10000000
o1,box,provisional_build,24,1,404,-1,False,10000000
o1,box,prepare_colliders,24,1,55,-1,False,10000000
o1,box,adopt_colliders,24,1,30,-1,False,10000000
o1,box,provisional_build,25,1,412,-1,False,10000000
o1,box,prepare_colliders,25,1,51,-1,False,10000000
o1,box,adopt_colliders,25,1,31,-1,False,10000000
o1,box,provisional_build,26,1,430,-1,False,10000000
o1,box,prepare_colliders,26,1,47,-1,False,10000000
o1,box,adopt_colliders,26,1,30,-1,False,10000000
o1,box,provisional_build,27,1,411,-1,False,10000000
o1,box,prepare_colliders,27,1,49,-1,False,10000000
o1,box,adopt_colliders,27,1,31,-1,False,10000000
o1,box,provisional_build,28,1,406,-1,False,10000000
o1,box,prepare_colliders,28,1,52,-1,False,10000000
o1,box,adopt_colliders,28,1,30,-1,False,10000000
o1,box,provisional_build,29,1,412,-1,False,10000000
o1,box,prepare_colliders,29,1,55,-1,False,10000000
o1,box,adopt_colliders,29,1,31,-1,False,10000000
o1,box,provisional_build,30,1,408,-1,False,10000000
o1,box,prepare_colliders,30,1,49,-1,False,10000000
o1,box,adopt_colliders,30,1,31,-1,False,10000000
o1,box,provisional_build,31,1,400,-1,False,10000000
o1,box,prepare_colliders,31,1,47,-1,False,10000000
o1,box,adopt_colliders,31,1,29,-1,False,10000000
o1,box,provisional_build,32,1,409,-1,False,10000000
o1,box,prepare_colliders,32,1,56,-1,False,10000000
o1,box,adopt_colliders,32,1,31,-1,False,10000000
o1,box,provisional_build,33,1,414,-1,False,10000000
o1,box,prepare_colliders,33,1,48,-1,False,10000000
o1,box,adopt_colliders,33,1,31,-1,False,10000000
o1,box,provisional_build,34,1,399,-1,False,10000000
o1,box,prepare_colliders,34,1,66,-1,False,10000000
o1,box,adopt_colliders,34,1,30,-1,False,10000000
o1,box,provisional_build,35,1,406,-1,False,10000000
o1,box,prepare_colliders,35,1,48,-1,False,10000000
o1,box,adopt_colliders,35,1,30,-1,False,10000000
o1,box,provisional_build,36,1,417,-1,False,10000000
o1,box,prepare_colliders,36,1,54,-1,False,10000000
o1,box,adopt_colliders,36,1,32,-1,False,10000000
o1,box,provisional_build,37,1,420,-1,False,10000000
o1,box,prepare_colliders,37,1,53,-1,False,10000000
o1,box,adopt_colliders,37,1,30,-1,False,10000000
o1,box,provisional_build,38,1,409,-1,False,10000000
o1,box,prepare_colliders,38,1,60,-1,False,10000000
o1,box,adopt_colliders,38,1,30,-1,False,10000000
o1,box,provisional_build,39,1,418,-1,False,10000000
o1,box,prepare_colliders,39,1,52,-1,False,10000000
o1,box,adopt_colliders,39,1,30,-1,False,10000000
o1,box,provisional_build,40,1,439,-1,False,10000000
o1,box,prepare_colliders,40,1,81,-1,False,10000000
o1,box,adopt_colliders,40,1,35,-1,False,10000000
o1,box,provisional_build,41,1,490,-1,False,10000000
o1,box,prepare_colliders,41,1,47,-1,False,10000000
o1,box,adopt_colliders,41,1,31,-1,False,10000000
o1,box,provisional_build,42,1,415,-1,False,10000000
o1,box,prepare_colliders,42,1,49,-1,False,10000000
o1,box,adopt_colliders,42,1,31,-1,False,10000000
o1,box,provisional_build,43,1,408,-1,False,10000000
o1,box,prepare_colliders,43,1,65,-1,False,10000000
o1,box,adopt_colliders,43,1,34,-1,False,10000000
o1,box,provisional_build,44,1,417,-1,False,10000000
o1,box,prepare_colliders,44,1,52,-1,False,10000000
o1,box,adopt_colliders,44,1,31,-1,False,10000000
o1,box,provisional_build,45,1,398,-1,False,10000000
o1,box,prepare_colliders,45,1,48,-1,False,10000000
o1,box,adopt_colliders,45,1,32,-1,False,10000000
o1,box,provisional_build,46,1,402,-1,False,10000000
o1,box,prepare_colliders,46,1,57,-1,False,10000000
o1,box,adopt_colliders,46,1,30,-1,False,10000000
o1,box,provisional_build,47,1,401,-1,False,10000000
o1,box,prepare_colliders,47,1,55,-1,False,10000000
o1,box,adopt_colliders,47,1,31,-1,False,10000000
o1,box,provisional_build,48,1,401,-1,False,10000000
o1,box,prepare_colliders,48,1,53,-1,False,10000000
o1,box,adopt_colliders,48,1,32,-1,False,10000000
o1,box,provisional_build,49,1,411,-1,False,10000000
o1,box,prepare_colliders,49,1,51,-1,False,10000000
o1,box,adopt_colliders,49,1,31,-1,False,10000000
o1,box,provisional_build,50,1,402,-1,False,10000000
o1,box,prepare_colliders,50,1,59,-1,False,10000000
o1,box,adopt_colliders,50,1,30,-1,False,10000000
o1,box,provisional_build,51,1,420,-1,False,10000000
o1,box,prepare_colliders,51,1,48,-1,False,10000000
o1,box,adopt_colliders,51,1,31,-1,False,10000000
o1,box,provisional_build,52,1,411,-1,False,10000000
o1,box,prepare_colliders,52,1,49,-1,False,10000000
o1,box,adopt_colliders,52,1,29,-1,False,10000000
o1,box,provisional_build,53,1,411,-1,False,10000000
o1,box,prepare_colliders,53,1,54,-1,False,10000000
o1,box,adopt_colliders,53,1,29,-1,False,10000000
o1,box,provisional_build,54,1,405,-1,False,10000000
o1,box,prepare_colliders,54,1,48,-1,False,10000000
o1,box,adopt_colliders,54,1,31,-1,False,10000000
o1,box,provisional_build,55,1,404,-1,False,10000000
o1,box,prepare_colliders,55,1,53,-1,False,10000000
o1,box,adopt_colliders,55,1,31,-1,False,10000000
o1,box,provisional_build,56,1,412,-1,False,10000000
o1,box,prepare_colliders,56,1,49,-1,False,10000000
o1,box,adopt_colliders,56,1,31,-1,False,10000000
o1,box,provisional_build,57,1,411,-1,False,10000000
o1,box,prepare_colliders,57,1,55,-1,False,10000000
o1,box,adopt_colliders,57,1,29,-1,False,10000000
o1,box,provisional_build,58,1,414,-1,False,10000000
o1,box,prepare_colliders,58,1,57,-1,False,10000000
o1,box,adopt_colliders,58,1,30,-1,False,10000000
o1,box,provisional_build,59,1,408,-1,False,10000000
o1,box,prepare_colliders,59,1,52,-1,False,10000000
o1,box,adopt_colliders,59,1,30,-1,False,10000000
o1,box,provisional_build,60,1,417,-1,False,10000000
o1,box,prepare_colliders,60,1,57,-1,False,10000000
o1,box,adopt_colliders,60,1,31,-1,False,10000000
o1,box,provisional_build,61,1,412,-1,False,10000000
o1,box,prepare_colliders,61,1,48,-1,False,10000000
o1,box,adopt_colliders,61,1,31,-1,False,10000000
o1,box,provisional_build,62,1,419,-1,False,10000000
o1,box,prepare_colliders,62,1,51,-1,False,10000000
o1,box,adopt_colliders,62,1,30,-1,False,10000000
o1,box,provisional_build,63,1,430,-1,False,10000000
o1,box,prepare_colliders,63,1,59,-1,False,10000000
o1,box,adopt_colliders,63,1,30,-1,False,10000000
o1,character,shape_pair_create_dispose,0,256,14286,-1,False,10000000
o1,character,shape_pair_create_dispose,1,256,14490,-1,False,10000000
o1,character,shape_pair_create_dispose,2,256,14370,-1,False,10000000
o1,character,shape_pair_create_dispose,3,256,14485,-1,False,10000000
o1,character,shape_pair_create_dispose,4,256,13917,-1,False,10000000
o1,character,shape_pair_create_dispose,5,256,14022,-1,False,10000000
o1,character,shape_pair_create_dispose,6,256,13950,-1,False,10000000
o1,character,shape_pair_create_dispose,7,256,14136,-1,False,10000000
o1,character,box_mass_divide,0,1024,44733,-1,False,10000000
o1,character,box_mass_divide,1,1024,63778,-1,False,10000000
o1,character,box_mass_divide,2,1024,73861,-1,False,10000000
o1,character,box_mass_divide,3,1024,71494,-1,False,10000000
o1,character,box_mass_divide,4,1024,48824,-1,False,10000000
o1,character,box_mass_divide,5,1024,48384,-1,False,10000000
o1,character,box_mass_divide,6,1024,47702,-1,False,10000000
o1,character,box_mass_divide,7,1024,48312,-1,False,10000000
o1,character,provisional_build,0,1,793,-1,False,10000000
