variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"o1",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,77,10000000,1.8798828125,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,78,10000000,1.904296875,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,76,10000000,1.85546875,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,76,10000000,1.85546875,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,76,10000000,1.85546875,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,75,10000000,1.8310546875,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,75,10000000,1.8310546875,0,false,0
"o1",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,76,10000000,1.85546875,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,84,10000000,2.05078125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,85,10000000,2.0751953125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,85,10000000,2.0751953125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,85,10000000,2.0751953125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,84,10000000,2.05078125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,84,10000000,2.05078125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,85,10000000,2.0751953125,0,false,0
"o1",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,84,10000000,2.05078125,0,false,0
"o1",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,76,10000000,1.85546875,0,false,0
"o1",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,76,10000000,1.85546875,0,false,0
"o1",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,75,10000000,1.8310546875,0,false,0
