variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"baseline",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,2391,10000000,58.3740234375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,2458,10000000,60.009765625,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,2471,10000000,60.3271484375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,2475,10000000,60.4248046875,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,2478,10000000,60.498046875,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,2476,10000000,60.44921875,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,2503,10000000,61.1083984375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,2606,10000000,63.623046875,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,1264,10000000,30.859375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,1263,10000000,30.8349609375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,1264,10000000,30.859375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,1264,10000000,30.859375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,1265,10000000,30.8837890625,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,1263,10000000,30.8349609375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,1264,10000000,30.859375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,1263,10000000,30.8349609375,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,2642,10000000,64.501953125,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,2609,10000000,63.6962890625,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,2971,10000000,72.5341796875,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,2548,10000000,62.20703125,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,3025,10000000,73.8525390625,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,2997,10000000,73.1689453125,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,2975,10000000,72.6318359375,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,2469,10000000,60.2783203125,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,3217,10000000,78.5400390625,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,1,4096,4096,4096,2906,10000000,70.947265625,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,2,4096,4096,4096,3268,10000000,79.78515625,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,3,4096,4096,4096,2988,10000000,72.94921875,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,4,4096,4096,4096,3195,10000000,78.0029296875,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,5,4096,4096,4096,3208,10000000,78.3203125,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,6,4096,4096,4096,3148,10000000,76.85546875,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,7,4096,4096,4096,3132,10000000,76.46484375,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,0,4096,0,0,39930,10000000,974.853515625,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,1,4096,0,0,38946,10000000,950.830078125,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,2,4096,0,0,38917,10000000,950.1220703125,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,3,4096,0,0,38728,10000000,945.5078125,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,4,4096,0,0,38193,10000000,932.4462890625,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,5,4096,0,0,37933,10000000,926.0986328125,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,6,4096,0,0,37353,10000000,911.9384765625,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,7,4096,0,0,36308,10000000,886.42578125,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,0,4096,4096,4096,35466,10000000,865.869140625,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,1,4096,4096,4096,34406,10000000,839.990234375,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,2,4096,4096,4096,34158,10000000,833.935546875,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,3,4096,4096,4096,33052,10000000,806.93359375,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,4,4096,4096,4096,33226,10000000,811.181640625,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,5,4096,4096,4096,32419,10000000,791.4794921875,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,6,4096,4096,4096,32345,10000000,789.6728515625,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,7,4096,4096,4096,33010,10000000,805.908203125,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,0,4096,0,0,84624,10000000,2066.015625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,1,4096,0,0,86146,10000000,2103.173828125,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,2,4096,0,0,86113,10000000,2102.3681640625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,3,4096,0,0,85575,10000000,2089.2333984375,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,4,4096,0,0,81585,10000000,1991.8212890625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,5,4096,0,0,82506,10000000,2014.306640625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,6,4096,0,0,81321,10000000,1985.3759765625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,7,4096,0,0,86438,10000000,2110.302734375,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,0,4096,4096,4096,84262,10000000,2057.177734375,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,1,4096,4096,4096,81097,10000000,1979.9072265625,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,2,4096,4096,4096,83263,10000000,2032.7880859375,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,3,4096,4096,4096,85303,10000000,2082.5927734375,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,4,4096,4096,4096,87556,10000000,2137.59765625,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,5,4096,4096,4096,85282,10000000,2082.080078125,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,6,4096,4096,4096,83153,10000000,2030.1025390625,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,7,4096,4096,4096,81439,10000000,1988.2568359375,0,false,0
