level,run,case,round,baseline_mean_us,candidate_mean_us,paired_delta_us,paired_delta_percent,round_count,samples_per_version,baseline_batch_median_us,candidate_batch_median_us,difference_of_batch_medians_us,paired_delta_us_median,paired_delta_percent_median,process_count,baseline_batch_median_us_min_run,baseline_batch_median_us_max_run,candidate_batch_median_us_min_run,candidate_batch_median_us_max_run,difference_of_batch_medians_us_min_run,difference_of_batch_medians_us_max_run,paired_delta_us_median_min_run,paired_delta_us_median_max_run,paired_delta_percent_median_min_run,paired_delta_percent_median_max_run,difference_of_two_process_version_representatives_us
round,run1-paired-mass,box,0,5.129345703125,4.790869140625,-0.33847656249999947,-6.598825310093375,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,1,4.680078125,4.60009765625,-0.07998046874999964,-1.7089558467573585,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,2,4.7138671875,4.57802734375,-0.13583984375000036,-2.8817070644292597,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,3,4.759472656250001,4.530419921875,-0.22905273437500107,-4.812565402055954,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,4,5.063037109374999,4.5767578125,-0.48627929687499893,-9.604497979573907,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,5,6.94638671875,6.851904296875,-0.094482421875,-1.360166453445052,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,6,5.792138671875,5.309277343750001,-0.48286132812499893,-8.336494608971261,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,box,7,5.42197265625,5.50439453125,0.08242187499999964,1.5201455305199767,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,character,0,4.4830078125,4.6650390625,0.18203124999999964,4.060471398074317,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,character,1,4.686230468750001,4.708837890625,0.022607421874999645,0.4824223227123936,,,,,,,,,,,,,,,,,,,
round,run1-paired-mass,character,2,4.5248046875,4.63486328125,0.11005859375000071,2.4323391030345047,,,,,,,,,,,,,,,,,,,
