run,case,round,order,version,ticks,freq,iterations
"run1-paired-mass",box,0,0,baseline,52442,10000000,1024
"run1-paired-mass",box,0,1,candidate,48085,10000000,1024
"run1-paired-mass",box,0,2,candidate,50032,10000000,1024
"run1-paired-mass",box,0,3,baseline,52607,10000000,1024
"run1-paired-mass",box,1,0,baseline,47998,10000000,1024
"run1-paired-mass",box,1,1,candidate,47320,10000000,1024
"run1-paired-mass",box,1,2,candidate,46890,10000000,1024
"run1-paired-mass",box,1,3,baseline,47850,10000000,1024
"run1-paired-mass",box,2,0,baseline,48476,10000000,1024
"run1-paired-mass",box,2,1,candidate,47012,10000000,1024
"run1-paired-mass",box,2,2,candidate,46746,10000000,1024
"run1-paired-mass",box,2,3,baseline,48064,10000000,1024
"run1-paired-mass",box,3,0,baseline,46416,10000000,1024
"run1-paired-mass",box,3,1,candidate,46100,10000000,1024
"run1-paired-mass",box,3,2,candidate,46683,10000000,1024
"run1-paired-mass",box,3,3,baseline,51058,10000000,1024
"run1-paired-mass",box,4,0,baseline,47632,10000000,1024
"run1-paired-mass",box,4,1,candidate,46553,10000000,1024
"run1-paired-mass",box,4,2,candidate,47179,10000000,1024
"run1-paired-mass",box,4,3,baseline,56059,10000000,1024
"run1-paired-mass",box,5,0,baseline,71297,10000000,1024
"run1-paired-mass",box,5,1,candidate,74622,10000000,1024
"run1-paired-mass",box,5,2,candidate,65705,10000000,1024
"run1-paired-mass",box,5,3,baseline,70965,10000000,1024
"run1-paired-mass",box,6,0,baseline,57014,10000000,1024
"run1-paired-mass",box,6,1,candidate,54433,10000000,1024
"run1-paired-mass",box,6,2,candidate,54301,10000000,1024
"run1-paired-mass",box,6,3,baseline,61609,10000000,1024
"run1-paired-mass",box,7,0,baseline,56373,10000000,1024
"run1-paired-mass",box,7,1,candidate,55237,10000000,1024
"run1-paired-mass",box,7,2,candidate,57493,10000000,1024
"run1-paired-mass",box,7,3,baseline,54669,10000000,1024
"run1-paired-mass",character,0,0,baseline,46193,10000000,1024
"run1-paired-mass",character,0,1,candidate,46343,10000000,1024
"run1-paired-mass",character,0,2,candidate,49197,10000000,1024
"run1-paired-mass",character,0,3,baseline,45619,10000000,1024
"run1-paired-mass",character,1,0,baseline,44931,10000000,1024
"run1-paired-mass",character,1,1,candidate,46479,10000000,1024
"run1-paired-mass",character,1,2,candidate,49958,10000000,1024
"run1-paired-mass",character,1,3,baseline,51043,10000000,1024
"run1-paired-mass",character,2,0,baseline,45747,10000000,1024
"run1-paired-mass",character,2,1,candidate,48623,10000000,1024
"run1-paired-mass",character,2,2,candidate,46299,10000000,1024
"run1-paired-mass",character,2,3,baseline,46921,10000000,1024
"run1-paired-mass",character,3,0,baseline,48144,10000000,1024
"run1-paired-mass",character,3,1,candidate,46405,10000000,1024
"run1-paired-mass",character,3,2,candidate,46592,10000000,1024
"run1-paired-mass",character,3,3,baseline,48548,10000000,1024
"run1-paired-mass",character,4,0,baseline,49231,10000000,1024
"run1-paired-mass",character,4,1,candidate,50047,10000000,1024
"run1-paired-mass",character,4,2,candidate,49552,10000000,1024
"run1-paired-mass",character,4,3,baseline,49014,10000000,1024
"run1-paired-mass",character,5,0,baseline,51657,10000000,1024
"run1-paired-mass",character,5,1,candidate,49904,10000000,1024
"run1-paired-mass",character,5,2,candidate,50232,10000000,1024
"run1-paired-mass",character,5,3,baseline,50243,10000000,1024
"run1-paired-mass",character,6,0,baseline,50448,10000000,1024
"run1-paired-mass",character,6,1,candidate,50417,10000000,1024
"run1-paired-mass",character,6,2,candidate,50327,10000000,1024
"run1-paired-mass",character,6,3,baseline,52058,10000000,1024
"run1-paired-mass",character,7,0,baseline,52212,10000000,1024
"run1-paired-mass",character,7,1,candidate,51396,10000000,1024
"run1-paired-mass",character,7,2,candidate,52438,10000000,1024
"run1-paired-mass",character,7,3,baseline,55928,10000000,1024
