run,case,round,order,version,ticks,freq,iterations
"editor-smoke2",box,0,0,baseline,40181,10000000,1024
"editor-smoke2",box,0,1,candidate,19543,10000000,1024
"editor-smoke2",box,0,2,candidate,18789,10000000,1024
"editor-smoke2",box,0,3,baseline,40916,10000000,1024
"editor-smoke2",box,1,0,baseline,40262,10000000,1024
"editor-smoke2",box,1,1,candidate,18668,10000000,1024
"editor-smoke2",box,1,2,candidate,18662,10000000,1024
"editor-smoke2",box,1,3,baseline,40853,10000000,1024
"editor-smoke2",box,2,0,baseline,42399,10000000,1024
"editor-smoke2",box,2,1,candidate,19069,10000000,1024
"editor-smoke2",box,2,2,candidate,19039,10000000,1024
"editor-smoke2",box,2,3,baseline,41332,10000000,1024
"editor-smoke2",box,3,0,baseline,42433,10000000,1024
"editor-smoke2",box,3,1,candidate,19068,10000000,1024
"editor-smoke2",box,3,2,candidate,19046,10000000,1024
"editor-smoke2",box,3,3,baseline,41560,10000000,1024
"editor-smoke2",box,4,0,baseline,41755,10000000,1024
"editor-smoke2",box,4,1,candidate,20286,10000000,1024
"editor-smoke2",box,4,2,candidate,19508,10000000,1024
"editor-smoke2",box,4,3,baseline,42233,10000000,1024
"editor-smoke2",box,5,0,baseline,41883,10000000,1024
"editor-smoke2",box,5,1,candidate,19744,10000000,1024
"editor-smoke2",box,5,2,candidate,19494,10000000,1024
"editor-smoke2",box,5,3,baseline,42073,10000000,1024
"editor-smoke2",box,6,0,baseline,41313,10000000,1024
"editor-smoke2",box,6,1,candidate,19614,10000000,1024
"editor-smoke2",box,6,2,candidate,19210,10000000,1024
"editor-smoke2",box,6,3,baseline,41029,10000000,1024
"editor-smoke2",box,7,0,baseline,41271,10000000,1024
"editor-smoke2",box,7,1,candidate,19078,10000000,1024
"editor-smoke2",box,7,2,candidate,19141,10000000,1024
"editor-smoke2",box,7,3,baseline,40996,10000000,1024
"editor-smoke2",character,0,0,baseline,38476,10000000,1024
"editor-smoke2",character,0,1,candidate,17890,10000000,1024
"editor-smoke2",character,0,2,candidate,17874,10000000,1024
"editor-smoke2",character,0,3,baseline,38748,10000000,1024
"editor-smoke2",character,1,0,baseline,40297,10000000,1024
"editor-smoke2",character,1,1,candidate,18722,10000000,1024
"editor-smoke2",character,1,2,candidate,18682,10000000,1024
"editor-smoke2",character,1,3,baseline,40325,10000000,1024
"editor-smoke2",character,2,0,baseline,39729,10000000,1024
"editor-smoke2",character,2,1,candidate,18557,10000000,1024
"editor-smoke2",character,2,2,candidate,18688,10000000,1024
"editor-smoke2",character,2,3,baseline,40625,10000000,1024
"editor-smoke2",character,3,0,baseline,41311,10000000,1024
"editor-smoke2",character,3,1,candidate,18772,10000000,1024
"editor-smoke2",character,3,2,candidate,19158,10000000,1024
"editor-smoke2",character,3,3,baseline,39687,10000000,1024
"editor-smoke2",character,4,0,baseline,40022,10000000,1024
"editor-smoke2",character,4,1,candidate,18291,10000000,1024
"editor-smoke2",character,4,2,candidate,18248,10000000,1024
"editor-smoke2",character,4,3,baseline,39838,10000000,1024
"editor-smoke2",character,5,0,baseline,39988,10000000,1024
"editor-smoke2",character,5,1,candidate,18293,10000000,1024
"editor-smoke2",character,5,2,candidate,18344,10000000,1024
"editor-smoke2",character,5,3,baseline,39403,10000000,1024
"editor-smoke2",character,6,0,baseline,39071,10000000,1024
"editor-smoke2",character,6,1,candidate,18149,10000000,1024
"editor-smoke2",character,6,2,candidate,18446,10000000,1024
"editor-smoke2",character,6,3,baseline,38884,10000000,1024
"editor-smoke2",character,7,0,baseline,38753,10000000,1024
"editor-smoke2",character,7,1,candidate,18355,10000000,1024
"editor-smoke2",character,7,2,candidate,17917,10000000,1024
"editor-smoke2",character,7,3,baseline,39179,10000000,1024
