run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"editor-smoke2",box,2,0,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",box,2,0,0,allocation_release,baseline,9647,10000000,1024,4,66,2
"editor-smoke2",box,2,0,1,allocation_release,candidate,3068,10000000,1024,1,72,72
"editor-smoke2",box,2,0,2,allocation_release,candidate,2932,10000000,1024,1,72,72
"editor-smoke2",box,2,0,3,allocation_release,baseline,9555,10000000,1024,4,66,2
"editor-smoke2",box,2,1,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",box,2,1,0,allocation_release,baseline,9788,10000000,1024,4,66,2
"editor-smoke2",box,2,1,1,allocation_release,candidate,3227,10000000,1024,1,72,72
"editor-smoke2",box,2,1,2,allocation_release,candidate,2852,10000000,1024,1,72,72
"editor-smoke2",box,2,1,3,allocation_release,baseline,9236,10000000,1024,4,66,2
"editor-smoke2",box,2,2,-1,empty_batch,empty,8,10000000,1024,0,0,0
"editor-smoke2",box,2,2,0,allocation_release,baseline,9508,10000000,1024,4,66,2
"editor-smoke2",box,2,2,1,allocation_release,candidate,3009,10000000,1024,1,72,72
"editor-smoke2",box,2,2,2,allocation_release,candidate,2951,10000000,1024,1,72,72
"editor-smoke2",box,2,2,3,allocation_release,baseline,9146,10000000,1024,4,66,2
"editor-smoke2",box,2,3,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",box,2,3,0,allocation_release,baseline,9595,10000000,1024,4,66,2
"editor-smoke2",box,2,3,1,allocation_release,candidate,2850,10000000,1024,1,72,72
"editor-smoke2",box,2,3,2,allocation_release,candidate,2874,10000000,1024,1,72,72
"editor-smoke2",box,2,3,3,allocation_release,baseline,9345,10000000,1024,4,66,2
"editor-smoke2",box,2,4,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",box,2,4,0,allocation_release,baseline,9493,10000000,1024,4,66,2
"editor-smoke2",box,2,4,1,allocation_release,candidate,3003,10000000,1024,1,72,72
"editor-smoke2",box,2,4,2,allocation_release,candidate,2958,10000000,1024,1,72,72
"editor-smoke2",box,2,4,3,allocation_release,baseline,9338,10000000,1024,4,66,2
"editor-smoke2",box,2,5,-1,empty_batch,empty,8,10000000,1024,0,0,0
"editor-smoke2",box,2,5,0,allocation_release,baseline,9786,10000000,1024,4,66,2
"editor-smoke2",box,2,5,1,allocation_release,candidate,2751,10000000,1024,1,72,72
"editor-smoke2",box,2,5,2,allocation_release,candidate,2724,10000000,1024,1,72,72
"editor-smoke2",box,2,5,3,allocation_release,baseline,10814,10000000,1024,4,66,2
"editor-smoke2",box,2,6,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",box,2,6,0,allocation_release,baseline,9417,10000000,1024,4,66,2
"editor-smoke2",box,2,6,1,allocation_release,candidate,2807,10000000,1024,1,72,72
"editor-smoke2",box,2,6,2,allocation_release,candidate,2687,10000000,1024,1,72,72
"editor-smoke2",box,2,6,3,allocation_release,baseline,9384,10000000,1024,4,66,2
"editor-smoke2",box,2,7,-1,empty_batch,empty,8,10000000,1024,0,0,0
"editor-smoke2",box,2,7,0,allocation_release,baseline,9587,10000000,1024,4,66,2
"editor-smoke2",box,2,7,1,allocation_release,candidate,2896,10000000,1024,1,72,72
"editor-smoke2",box,2,7,2,allocation_release,candidate,2821,10000000,1024,1,72,72
"editor-smoke2",box,2,7,3,allocation_release,baseline,9485,10000000,1024,4,66,2
"editor-smoke2",character,10,0,-1,empty_batch,empty,8,10000000,1024,0,0,0
"editor-smoke2",character,10,0,0,allocation_release,baseline,10402,10000000,1024,4,330,10
"editor-smoke2",character,10,0,1,allocation_release,candidate,2641,10000000,1024,1,360,360
"editor-smoke2",character,10,0,2,allocation_release,candidate,2639,10000000,1024,1,360,360
"editor-smoke2",character,10,0,3,allocation_release,baseline,9921,10000000,1024,4,330,10
"editor-smoke2",character,10,1,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",character,10,1,0,allocation_release,baseline,9969,10000000,1024,4,330,10
"editor-smoke2",character,10,1,1,allocation_release,candidate,2636,10000000,1024,1,360,360
"editor-smoke2",character,10,1,2,allocation_release,candidate,2626,10000000,1024,1,360,360
"editor-smoke2",character,10,1,3,allocation_release,baseline,9802,10000000,1024,4,330,10
"editor-smoke2",character,10,2,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",character,10,2,0,allocation_release,baseline,9879,10000000,1024,4,330,10
"editor-smoke2",character,10,2,1,allocation_release,candidate,2623,10000000,1024,1,360,360
"editor-smoke2",character,10,2,2,allocation_release,candidate,2614,10000000,1024,1,360,360
"editor-smoke2",character,10,2,3,allocation_release,baseline,9949,10000000,1024,4,330,10
"editor-smoke2",character,10,3,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",character,10,3,0,allocation_release,baseline,10277,10000000,1024,4,330,10
"editor-smoke2",character,10,3,1,allocation_release,candidate,2702,10000000,1024,1,360,360
"editor-smoke2",character,10,3,2,allocation_release,candidate,2679,10000000,1024,1,360,360
"editor-smoke2",character,10,3,3,allocation_release,baseline,9923,10000000,1024,4,330,10
"editor-smoke2",character,10,4,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",character,10,4,0,allocation_release,baseline,10215,10000000,1024,4,330,10
