case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,-1,0,0,1,0,buildtotal,995,209791,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,1,objects+,447,94550,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,2,objects-,135,28665,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,3,colliders+,58,12679,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,4,colliders-,19,4431,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,5,publishtotal,636,134128,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,6,SetActive+,182,38690,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,7,SetActive-,192,40798,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,8,BuildSide+,516,108773,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,9,BuildSide-,163,34124,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,10,newRoot+,177,37577,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,11,newRoot-,40,8598,1,10000000,1,1,1,0,1,1,1
box,0,-1,1,1,1,0,buildtotal,856,180238,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,1,objects+,125,26750,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,2,objects-,355,75268,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,3,colliders+,19,4320,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,4,colliders-,45,9980,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,5,publishtotal,508,106883,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,6,SetActive+,160,34092,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,7,SetActive-,143,30503,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,8,BuildSide+,164,34293,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,9,BuildSide-,435,91662,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,10,newRoot+,36,7814,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,11,newRoot-,106,22827,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,3,1,0,buildtotal,832,175179,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,1,objects+,120,25506,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,2,objects-,328,69394,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,3,colliders+,18,4121,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,4,colliders-,48,10324,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,5,publishtotal,566,119300,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,6,SetActive+,263,55890,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,7,SetActive-,46,10001,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,8,BuildSide+,147,30673,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,9,BuildSide-,393,82572,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,10,newRoot+,34,7354,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,11,newRoot-,112,24210,1,10000000,1,1,0,1,1,1,1
box,0,-1,3,2,1,0,buildtotal,891,188200,1,10000000,1,1,1,1,1,1,1
