run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"il2cpp-build1",box,2,0,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",box,2,0,0,allocation_release,baseline,11635,10000000,1024,4,66,2
"il2cpp-build1",box,2,0,1,allocation_release,candidate,1954,10000000,1024,1,72,72
"il2cpp-build1",box,2,0,2,allocation_release,candidate,1940,10000000,1024,1,72,72
"il2cpp-build1",box,2,0,3,allocation_release,baseline,7904,10000000,1024,4,66,2
"il2cpp-build1",box,2,1,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",box,2,1,0,allocation_release,baseline,7938,10000000,1024,4,66,2
"il2cpp-build1",box,2,1,1,allocation_release,candidate,2271,10000000,1024,1,72,72
"il2cpp-build1",box,2,1,2,allocation_release,candidate,2032,10000000,1024,1,72,72
"il2cpp-build1",box,2,1,3,allocation_release,baseline,7916,10000000,1024,4,66,2
"il2cpp-build1",box,2,2,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",box,2,2,0,allocation_release,baseline,7989,10000000,1024,4,66,2
"il2cpp-build1",box,2,2,1,allocation_release,candidate,1951,10000000,1024,1,72,72
"il2cpp-build1",box,2,2,2,allocation_release,candidate,1942,10000000,1024,1,72,72
"il2cpp-build1",box,2,2,3,allocation_release,baseline,7900,10000000,1024,4,66,2
"il2cpp-build1",box,2,3,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",box,2,3,0,allocation_release,baseline,8377,10000000,1024,4,66,2
"il2cpp-build1",box,2,3,1,allocation_release,candidate,2551,10000000,1024,1,72,72
"il2cpp-build1",box,2,3,2,allocation_release,candidate,2869,10000000,1024,1,72,72
"il2cpp-build1",box,2,3,3,allocation_release,baseline,11698,10000000,1024,4,66,2
"il2cpp-build1",box,2,4,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",box,2,4,0,allocation_release,baseline,8467,10000000,1024,4,66,2
"il2cpp-build1",box,2,4,1,allocation_release,candidate,2062,10000000,1024,1,72,72
"il2cpp-build1",box,2,4,2,allocation_release,candidate,2019,10000000,1024,1,72,72
"il2cpp-build1",box,2,4,3,allocation_release,baseline,8127,10000000,1024,4,66,2
"il2cpp-build1",box,2,5,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",box,2,5,0,allocation_release,baseline,8226,10000000,1024,4,66,2
"il2cpp-build1",box,2,5,1,allocation_release,candidate,2032,10000000,1024,1,72,72
"il2cpp-build1",box,2,5,2,allocation_release,candidate,1997,10000000,1024,1,72,72
"il2cpp-build1",box,2,5,3,allocation_release,baseline,8104,10000000,1024,4,66,2
"il2cpp-build1",box,2,6,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",box,2,6,0,allocation_release,baseline,8149,10000000,1024,4,66,2
"il2cpp-build1",box,2,6,1,allocation_release,candidate,2004,10000000,1024,1,72,72
"il2cpp-build1",box,2,6,2,allocation_release,candidate,1993,10000000,1024,1,72,72
"il2cpp-build1",box,2,6,3,allocation_release,baseline,8076,10000000,1024,4,66,2
"il2cpp-build1",box,2,7,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",box,2,7,0,allocation_release,baseline,8135,10000000,1024,4,66,2
"il2cpp-build1",box,2,7,1,allocation_release,candidate,2010,10000000,1024,1,72,72
"il2cpp-build1",box,2,7,2,allocation_release,candidate,2003,10000000,1024,1,72,72
"il2cpp-build1",box,2,7,3,allocation_release,baseline,8118,10000000,1024,4,66,2
"il2cpp-build1",character,10,0,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",character,10,0,0,allocation_release,baseline,8104,10000000,1024,4,330,10
"il2cpp-build1",character,10,0,1,allocation_release,candidate,2069,10000000,1024,1,360,360
"il2cpp-build1",character,10,0,2,allocation_release,candidate,2066,10000000,1024,1,360,360
"il2cpp-build1",character,10,0,3,allocation_release,baseline,8121,10000000,1024,4,330,10
"il2cpp-build1",character,10,1,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",character,10,1,0,allocation_release,baseline,9090,10000000,1024,4,330,10
"il2cpp-build1",character,10,1,1,allocation_release,candidate,2145,10000000,1024,1,360,360
"il2cpp-build1",character,10,1,2,allocation_release,candidate,2149,10000000,1024,1,360,360
"il2cpp-build1",character,10,1,3,allocation_release,baseline,8554,10000000,1024,4,330,10
"il2cpp-build1",character,10,2,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",character,10,2,0,allocation_release,baseline,12482,10000000,1024,4,330,10
"il2cpp-build1",character,10,2,1,allocation_release,candidate,3336,10000000,1024,1,360,360
"il2cpp-build1",character,10,2,2,allocation_release,candidate,3390,10000000,1024,1,360,360
"il2cpp-build1",character,10,2,3,allocation_release,baseline,12257,10000000,1024,4,330,10
"il2cpp-build1",character,10,3,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",character,10,3,0,allocation_release,baseline,8526,10000000,1024,4,330,10
"il2cpp-build1",character,10,3,1,allocation_release,candidate,2233,10000000,1024,1,360,360
"il2cpp-build1",character,10,3,2,allocation_release,candidate,2123,10000000,1024,1,360,360
"il2cpp-build1",character,10,3,3,allocation_release,baseline,8358,10000000,1024,4,330,10
"il2cpp-build1",character,10,4,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",character,10,4,0,allocation_release,baseline,8495,10000000,1024,4,330,10
"il2cpp-build1",character,10,4,1,allocation_release,candidate,2179,10000000,1024,1,360,360
"il2cpp-build1",character,10,4,2,allocation_release,candidate,2140,10000000,1024,1,360,360
"il2cpp-build1",character,10,4,3,allocation_release,baseline,8480,10000000,1024,4,330,10
"il2cpp-build1",character,10,5,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",character,10,5,0,allocation_release,baseline,9765,10000000,1024,4,330,10
"il2cpp-build1",character,10,5,1,allocation_release,candidate,2141,10000000,1024,1,360,360
"il2cpp-build1",character,10,5,2,allocation_release,candidate,2121,10000000,1024,1,360,360
"il2cpp-build1",character,10,5,3,allocation_release,baseline,8368,10000000,1024,4,330,10
"il2cpp-build1",character,10,6,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build1",character,10,6,0,allocation_release,baseline,12485,10000000,1024,4,330,10
"il2cpp-build1",character,10,6,1,allocation_release,candidate,3338,10000000,1024,1,360,360
"il2cpp-build1",character,10,6,2,allocation_release,candidate,3314,10000000,1024,1,360,360
"il2cpp-build1",character,10,6,3,allocation_release,baseline,11180,10000000,1024,4,330,10
"il2cpp-build1",character,10,7,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build1",character,10,7,0,allocation_release,baseline,8495,10000000,1024,4,330,10
"il2cpp-build1",character,10,7,1,allocation_release,candidate,2155,10000000,1024,1,360,360
"il2cpp-build1",character,10,7,2,allocation_release,candidate,2144,10000000,1024,1,360,360
"il2cpp-build1",character,10,7,3,allocation_release,baseline,8495,10000000,1024,4,330,10
