case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,-1,0,0,1,0,buildtotal,1207,254942,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,1,objects+,645,136427,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,2,objects-,143,30491,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,3,colliders+,62,13430,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,4,colliders-,19,4394,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,5,publishtotal,980,206484,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,6,SetActive+,250,53281,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,7,SetActive-,402,85521,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,8,BuildSide+,728,153256,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,9,BuildSide-,172,36062,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,10,newRoot+,350,74350,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,11,newRoot-,41,9065,1,10000000,1,1,1,0,1,1,1
box,0,-1,1,1,1,0,buildtotal,1342,284545,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,1,objects+,113,24129,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,2,objects-,703,148486,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,3,colliders+,16,3774,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,4,colliders-,92,19816,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,5,publishtotal,1086,228898,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,6,SetActive+,229,48711,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,7,SetActive-,433,91925,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,8,BuildSide+,139,29013,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,9,BuildSide-,823,173300,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,10,newRoot+,35,7576,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,11,newRoot-,358,76104,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,3,1,0,buildtotal,751,159548,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,1,objects+,113,24258,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,2,objects-,321,67948,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,3,colliders+,15,3565,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,4,colliders-,35,7770,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,5,publishtotal,707,149151,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,6,SetActive+,375,79742,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,7,SetActive-,48,10613,1,10000000,1,1,0,1,1,1,1
