run,case,round,order,version,ticks,freq,iterations
"il2cpp-build2",box,0,0,baseline,7470,10000000,1024
"il2cpp-build2",box,0,1,candidate,4518,10000000,1024
"il2cpp-build2",box,0,2,candidate,3201,10000000,1024
"il2cpp-build2",box,0,3,baseline,7288,10000000,1024
"il2cpp-build2",box,1,0,baseline,7436,10000000,1024
"il2cpp-build2",box,1,1,candidate,3338,10000000,1024
"il2cpp-build2",box,1,2,candidate,3341,10000000,1024
"il2cpp-build2",box,1,3,baseline,7486,10000000,1024
"il2cpp-build2",box,2,0,baseline,7282,10000000,1024
"il2cpp-build2",box,2,1,candidate,3207,10000000,1024
"il2cpp-build2",box,2,2,candidate,3202,10000000,1024
"il2cpp-build2",box,2,3,baseline,7297,10000000,1024
"il2cpp-build2",box,3,0,baseline,7313,10000000,1024
"il2cpp-build2",box,3,1,candidate,3200,10000000,1024
"il2cpp-build2",box,3,2,candidate,3203,10000000,1024
"il2cpp-build2",box,3,3,baseline,7652,10000000,1024
"il2cpp-build2",box,4,0,baseline,7535,10000000,1024
"il2cpp-build2",box,4,1,candidate,3205,10000000,1024
"il2cpp-build2",box,4,2,candidate,3197,10000000,1024
"il2cpp-build2",box,4,3,baseline,7275,10000000,1024
"il2cpp-build2",box,5,0,baseline,7539,10000000,1024
"il2cpp-build2",box,5,1,candidate,3205,10000000,1024
"il2cpp-build2",box,5,2,candidate,3196,10000000,1024
"il2cpp-build2",box,5,3,baseline,7313,10000000,1024
"il2cpp-build2",box,6,0,baseline,7372,10000000,1024
"il2cpp-build2",box,6,1,candidate,3209,10000000,1024
"il2cpp-build2",box,6,2,candidate,3271,10000000,1024
"il2cpp-build2",box,6,3,baseline,7380,10000000,1024
"il2cpp-build2",box,7,0,baseline,7324,10000000,1024
"il2cpp-build2",box,7,1,candidate,3126,10000000,1024
"il2cpp-build2",box,7,2,candidate,3120,10000000,1024
"il2cpp-build2",box,7,3,baseline,7164,10000000,1024
"il2cpp-build2",character,0,0,baseline,7260,10000000,1024
"il2cpp-build2",character,0,1,candidate,3124,10000000,1024
"il2cpp-build2",character,0,2,candidate,3127,10000000,1024
"il2cpp-build2",character,0,3,baseline,7338,10000000,1024
"il2cpp-build2",character,1,0,baseline,7300,10000000,1024
"il2cpp-build2",character,1,1,candidate,3548,10000000,1024
"il2cpp-build2",character,1,2,candidate,3139,10000000,1024
"il2cpp-build2",character,1,3,baseline,7527,10000000,1024
"il2cpp-build2",character,2,0,baseline,7378,10000000,1024
"il2cpp-build2",character,2,1,candidate,3126,10000000,1024
"il2cpp-build2",character,2,2,candidate,3120,10000000,1024
"il2cpp-build2",character,2,3,baseline,7252,10000000,1024
"il2cpp-build2",character,3,0,baseline,7461,10000000,1024
"il2cpp-build2",character,3,1,candidate,3128,10000000,1024
"il2cpp-build2",character,3,2,candidate,3124,10000000,1024
"il2cpp-build2",character,3,3,baseline,7377,10000000,1024
"il2cpp-build2",character,4,0,baseline,7295,10000000,1024
"il2cpp-build2",character,4,1,candidate,3130,10000000,1024
"il2cpp-build2",character,4,2,candidate,3120,10000000,1024
"il2cpp-build2",character,4,3,baseline,7284,10000000,1024
"il2cpp-build2",character,5,0,baseline,7380,10000000,1024
"il2cpp-build2",character,5,1,candidate,3131,10000000,1024
"il2cpp-build2",character,5,2,candidate,3120,10000000,1024
"il2cpp-build2",character,5,3,baseline,7271,10000000,1024
"il2cpp-build2",character,6,0,baseline,7506,10000000,1024
"il2cpp-build2",character,6,1,candidate,3122,10000000,1024
"il2cpp-build2",character,6,2,candidate,3120,10000000,1024
"il2cpp-build2",character,6,3,baseline,7251,10000000,1024
"il2cpp-build2",character,7,0,baseline,7294,10000000,1024
"il2cpp-build2",character,7,1,candidate,3173,10000000,1024
"il2cpp-build2",character,7,2,candidate,3159,10000000,1024
"il2cpp-build2",character,7,3,baseline,7309,10000000,1024
