run,case,round,order,version,ticks,freq,iterations
"player01",character,0,0,baseline,5825,10000000,1024
"player01",character,0,1,candidate,2497,10000000,1024
"player01",character,0,2,candidate,2534,10000000,1024
"player01",character,0,3,baseline,5782,10000000,1024
"player01",character,1,0,baseline,5884,10000000,1024
"player01",character,1,1,candidate,2480,10000000,1024
"player01",character,1,2,candidate,2474,10000000,1024
"player01",character,1,3,baseline,5963,10000000,1024
"player01",character,2,0,baseline,5795,10000000,1024
"player01",character,2,1,candidate,2475,10000000,1024
"player01",character,2,2,candidate,2522,10000000,1024
"player01",character,2,3,baseline,5740,10000000,1024
"player01",character,3,0,baseline,5824,10000000,1024
"player01",character,3,1,candidate,2475,10000000,1024
"player01",character,3,2,candidate,2472,10000000,1024
"player01",character,3,3,baseline,5784,10000000,1024
"player01",character,4,0,baseline,5801,10000000,1024
"player01",character,4,1,candidate,2477,10000000,1024
"player01",character,4,2,candidate,2471,10000000,1024
"player01",character,4,3,baseline,6443,10000000,1024
"player01",character,5,0,baseline,5765,10000000,1024
"player01",character,5,1,candidate,2498,10000000,1024
"player01",character,5,2,candidate,3068,10000000,1024
"player01",character,5,3,baseline,6063,10000000,1024
"player01",character,6,0,baseline,5837,10000000,1024
"player01",character,6,1,candidate,2476,10000000,1024
"player01",character,6,2,candidate,2473,10000000,1024
"player01",character,6,3,baseline,5833,10000000,1024
"player01",character,7,0,baseline,5772,10000000,1024
"player01",character,7,1,candidate,2483,10000000,1024
"player01",character,7,2,candidate,2477,10000000,1024
"player01",character,7,3,baseline,5774,10000000,1024
"player01",box,0,0,baseline,5684,10000000,1024
"player01",box,0,1,candidate,2471,10000000,1024
"player01",box,0,2,candidate,2469,10000000,1024
"player01",box,0,3,baseline,5686,10000000,1024
"player01",box,1,0,baseline,5815,10000000,1024
"player01",box,1,1,candidate,2476,10000000,1024
"player01",box,1,2,candidate,2472,10000000,1024
"player01",box,1,3,baseline,5627,10000000,1024
"player01",box,2,0,baseline,5626,10000000,1024
"player01",box,2,1,candidate,2479,10000000,1024
"player01",box,2,2,candidate,2476,10000000,1024
"player01",box,2,3,baseline,5639,10000000,1024
"player01",box,3,0,baseline,5874,10000000,1024
"player01",box,3,1,candidate,2562,10000000,1024
"player01",box,3,2,candidate,2529,10000000,1024
"player01",box,3,3,baseline,5679,10000000,1024
"player01",box,4,0,baseline,5716,10000000,1024
"player01",box,4,1,candidate,2477,10000000,1024
"player01",box,4,2,candidate,2492,10000000,1024
"player01",box,4,3,baseline,5642,10000000,1024
"player01",box,5,0,baseline,5705,10000000,1024
"player01",box,5,1,candidate,2478,10000000,1024
"player01",box,5,2,candidate,2484,10000000,1024
"player01",box,5,3,baseline,6038,10000000,1024
"player01",box,6,0,baseline,5741,10000000,1024
"player01",box,6,1,candidate,2512,10000000,1024
"player01",box,6,2,candidate,2478,10000000,1024
"player01",box,6,3,baseline,5631,10000000,1024
"player01",box,7,0,baseline,5701,10000000,1024
"player01",box,7,1,candidate,2486,10000000,1024
"player01",box,7,2,candidate,2480,10000000,1024
"player01",box,7,3,baseline,5691,10000000,1024
