case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
character,0,-1,0,0,1,0,buildtotal,794,167399,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,1,objects+,254,53719,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,2,objects-,73,15570,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,3,colliders+,152,32466,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,4,colliders-,80,17209,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,5,publishtotal,858,180939,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,6,SetActive+,340,72085,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,7,SetActive-,261,55525,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,8,BuildSide+,423,88653,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,9,BuildSide-,160,33701,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,10,newRoot+,74,17003,1,10000000,15,9,1,0,1,1,1
character,0,-1,0,0,1,11,newRoot-,20,4364,1,10000000,15,9,1,0,1,1,1
character,0,-1,1,1,1,0,buildtotal,528,111470,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,1,objects+,69,14782,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,2,objects-,132,28138,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,3,colliders+,115,24538,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,4,colliders-,81,17367,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,5,publishtotal,593,125005,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,6,SetActive+,271,57725,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,7,SetActive-,166,35340,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,8,BuildSide+,192,40216,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,9,BuildSide-,226,47676,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,10,newRoot+,20,4411,1,10000000,15,9,0,0,1,1,1
character,0,-1,1,1,1,11,newRoot-,45,9760,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,3,1,0,buildtotal,793,167527,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,1,objects+,69,14729,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,2,objects-,268,56682,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,3,colliders+,123,26231,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,4,colliders-,106,22613,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,5,publishtotal,894,177621,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,6,SetActive+,489,103787,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,7,SetActive-,119,25457,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,8,BuildSide+,199,41777,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,9,BuildSide-,386,81427,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,10,newRoot+,21,4636,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,3,1,11,newRoot-,112,23967,1,10000000,15,9,0,1,1,1,1
character,0,-1,3,2,1,0,buildtotal,682,144447,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,1,objects+,173,36742,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,2,objects-,75,16008,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,3,colliders+,131,28091,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,4,colliders-,85,18289,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,5,publishtotal,629,132651,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,6,SetActive+,339,71810,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,7,SetActive-,115,24661,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,8,BuildSide+,321,67433,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,9,BuildSide-,169,35329,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,10,newRoot+,46,10152,1,10000000,15,9,1,1,1,1,1
character,0,-1,3,2,1,11,newRoot-,21,4677,1,10000000,15,9,1,1,1,1,1
character,0,0,0,0,0,0,buildtotal,623,131794,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,1,objects+,158,33480,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,2,objects-,77,16414,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,3,colliders+,126,26993,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,4,colliders-,75,16160,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,5,publishtotal,622,131304,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,6,SetActive+,262,55483,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,7,SetActive-,177,37720,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,8,BuildSide+,296,62528,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,9,BuildSide-,159,33459,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,10,newRoot+,46,10016,1,10000000,15,9,1,0,1,1,1
character,0,0,0,0,0,11,newRoot-,26,5816,1,10000000,15,9,1,0,1,1,1
character,0,0,1,1,0,0,buildtotal,653,138172,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,1,objects+,70,15042,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,2,objects-,173,36776,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,3,colliders+,116,25021,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,4,colliders-,91,19415,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,5,publishtotal,628,132536,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,6,SetActive+,270,57471,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,7,SetActive-,182,38840,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,8,BuildSide+,196,41009,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,9,BuildSide-,277,58256,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,10,newRoot+,21,4730,1,10000000,15,9,0,0,1,1,1
character,0,0,1,1,0,11,newRoot-,47,10255,1,10000000,15,9,0,0,1,1,1
character,0,0,2,3,0,0,buildtotal,621,131020,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,1,objects+,67,14452,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,2,objects-,157,33321,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,3,colliders+,120,25717,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,4,colliders-,83,17849,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,5,publishtotal,591,124715,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,6,SetActive+,325,69086,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,7,SetActive-,110,23457,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,8,BuildSide+,196,41023,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,9,BuildSide-,253,53194,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,10,newRoot+,19,4288,1,10000000,15,9,0,1,1,1,1
character,0,0,2,3,0,11,newRoot-,46,10091,1,10000000,15,9,0,1,1,1,1
character,0,0,3,2,0,0,buildtotal,643,135790,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,1,objects+,163,34639,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,2,objects-,66,14291,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,3,colliders+,133,28478,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,4,colliders-,78,16692,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,5,publishtotal,626,131957,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,6,SetActive+,325,68805,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,7,SetActive-,119,25467,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,8,BuildSide+,310,65255,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,9,BuildSide-,152,31859,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,10,newRoot+,49,10685,1,10000000,15,9,1,1,1,1,1
character,0,0,3,2,0,11,newRoot-,20,4580,1,10000000,15,9,1,1,1,1,1
character,0,1,0,1,0,0,buildtotal,687,145102,1,10000000,15,9,0,0,1,1,1
character,0,1,0,1,0,1,objects+,78,16679,1,10000000,15,9,0,0,1,1,1
character,0,1,0,1,0,2,objects-,176,37316,1,10000000,15,9,0,0,1,1,1
character,0,1,0,1,0,3,colliders+,120,25705,1,10000000,15,9,0,0,1,1,1
character,0,1,0,1,0,4,colliders-,95,20295,1,10000000,15,9,0,0,1,1,1
character,0,1,0,1,0,5,publishtotal,632,133364,1,10000000,15,9,0,0,1,1,1
character,0,1,0,1,0,6,SetActive+,268,56931,1,10000000,15,9,0,0,1,1,1
