run,backend,source_fingerprint,probe_schema,case,phase,stage,metric,order_kind,mode_before,mode_after,positive_minus_negative_before,positive_minus_negative_after,first_minus_second_before,first_minus_second_after,side_difference_sign_reverses,ordinal_difference_sign_agrees
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,elapsed_us,build,0,1,14.8,-5.800000000000001,14.8,5.800000000000001,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,thread_cycles,build,0,1,31284.0,-12546.0,31284.0,12546.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,elapsed_us,build,2,3,11.4,-9.3,11.4,9.3,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,objects,thread_cycles,build,2,3,24110.0,-19633.0,24110.0,19633.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,elapsed_us,build,0,1,2.4000000000000004,-0.8,2.4000000000000004,0.8,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,thread_cycles,build,0,1,5039.0,-1824.0,5039.0,1824.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,elapsed_us,build,2,3,0.8,-0.9,0.8,0.9,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,colliders,thread_cycles,build,2,3,1756.0,-1856.0,1756.0,1856.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,elapsed_us,build,0,1,17.900000000000002,-7.0,17.900000000000002,7.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,thread_cycles,build,0,1,37399.0,-15006.0,37399.0,15006.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,elapsed_us,build,2,3,13.4,-10.9,13.4,10.9,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,BuildSide,thread_cycles,build,2,3,28280.0,-22946.0,28280.0,22946.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,elapsed_us,activation,0,2,0.6000000000000001,15.9,-0.6000000000000001,15.9,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,thread_cycles,activation,0,2,1581.0,33490.0,-1581.0,33490.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,elapsed_us,activation,1,3,2.5,14.200000000000001,-2.5,14.200000000000001,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,SetActive,thread_cycles,activation,1,3,5223.0,30103.0,-5223.0,30103.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,elapsed_us,build,0,1,6.0,-1.8,6.0,1.8,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,thread_cycles,build,0,1,12746.0,-3713.0,12746.0,3713.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,elapsed_us,build,2,3,3.9000000000000004,-2.3000000000000003,3.9000000000000004,2.3000000000000003,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,warmup,newRoot,thread_cycles,build,2,3,8394.0,-4810.0,8394.0,4810.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,elapsed_us,build,0,1,9.75,-8.75,9.75,8.75,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,thread_cycles,build,0,1,20699.0,-18371.0,20699.0,18371.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,elapsed_us,build,2,3,9.950000000000001,-9.700000000000001,9.950000000000001,9.700000000000001,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,objects,thread_cycles,build,2,3,21053.0,-20490.0,21053.0,20490.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,elapsed_us,build,0,1,1.05,-1.1,1.05,1.1,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,thread_cycles,build,0,1,2294.0,-2484.5,2294.0,2484.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,elapsed_us,build,2,3,1.1,-1.0,1.1,1.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,colliders,thread_cycles,build,2,3,2290.5,-2207.0,2290.5,2207.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,elapsed_us,build,0,1,11.7,-10.5,11.7,10.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,thread_cycles,build,0,1,24727.5,-22203.0,24727.5,22203.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,elapsed_us,build,2,3,12.0,-12.0,12.0,12.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,BuildSide,thread_cycles,build,2,3,25327.0,-25286.5,25327.0,25286.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,SetActive,elapsed_us,activation,0,2,4.1,15.950000000000001,-4.1,15.950000000000001,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,SetActive,thread_cycles,activation,0,2,8485.5,33736.5,-8485.5,33736.5,False,False
