run,backend,source_fingerprint,case,phase,mode,probe_schema,stage,metric,positive_minus_negative_n,positive_minus_negative_median,positive_minus_negative_p95,positive_minus_negative_min,positive_minus_negative_max,first_minus_second_n,first_minus_second_median,first_minus_second_p95,first_minus_second_min,first_minus_second_max,order_kind,positive_ordinal,negative_ordinal,positive_colliders,negative_colliders
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,BuildSide,elapsed_us,8,11.7,13.23,10.600000000000001,13.3,8,11.7,13.23,10.600000000000001,13.3,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,BuildSide,thread_cycles,8,24727.5,27987.45,22314,28181,8,24727.5,27987.45,22314,28181,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,SetActive,elapsed_us,8,4.1,6.01,2.0,6.5,8,-4.1,-2.3500000000000005,-6.5,-2.0,activation,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,SetActive,thread_cycles,8,8485.5,12575.8,4185,13602,8,-8485.5,-4918.600000000001,-13602,-4185,activation,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,colliders,elapsed_us,8,1.05,1.565,0.9,1.6,8,1.05,1.565,0.9,1.6,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,colliders,thread_cycles,8,2294.0,3248.05,2011,3275,8,2294.0,3248.05,2011,3275,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,newRoot,elapsed_us,8,3.05,3.43,1.9000000000000001,3.5,8,3.05,3.43,1.9000000000000001,3.5,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,newRoot,thread_cycles,8,6556.0,7425.099999999999,4124,7521,8,6556.0,7425.099999999999,4124,7521,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,objects,elapsed_us,8,9.75,11.59,8.6,11.8,8,9.75,11.59,8.6,11.8,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,objects,thread_cycles,8,20699.0,24492.75,18219,24918,8,20699.0,24492.75,18219,24918,build,1,2,1,1
