run,backend,source_fingerprint,case,phase,mode,probe_schema,span,elapsed_us_n,elapsed_us_median,elapsed_us_p95,elapsed_us_min,elapsed_us_max,thread_cycles_n,thread_cycles_median,thread_cycles_p95,thread_cycles_min,thread_cycles_max
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,BuildPublish,8,83.6,90.0,78.7,90.7,8,176885.0,190614.8,166406,191711
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,BuildSide+,8,20.799999999999997,22.11,19.9,22.6,8,43668.5,46612.65,41956,47656
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,BuildSide-,8,8.850000000000001,9.53,8.1,9.6,8,18483.5,20089.7,17011,20229
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,BuildSide_pair,8,29.45,31.479999999999997,28.6,31.9,8,61846.5,66351.55,60260,67131
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,SetActive+,8,13.5,15.454999999999998,12.2,15.7,8,28819.5,32846.1,26013,33362
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,SetActive-,8,9.55,10.5,8.5,10.5,8,20529.0,22557.5,18176,22568
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,SetActive_pair,8,22.85,25.29,21.4,25.5,8,48928.0,53989.1,45953,54456
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,buildtotal,8,46.95,50.449999999999996,45.2,50.8,8,99617.0,107282.35,95955,107611
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,colliders+,8,2.1,2.5,1.9,2.5,8,4700.5,5554.95,4292,5612
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,colliders-,8,1.0,1.13,0.9,1.2,8,2345.0,2598.15,2174,2658
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,colliders_pair,8,3.1,3.465,2.8,3.5,8,7159.0,7884.95,6573,8026
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,newRoot+,8,5.05,5.76,4.3,5.9,8,11011.0,12602.05,9523,12944
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,newRoot-,8,2.05,2.5949999999999998,1.9,2.7,8,4598.5,5816.95,4182,6042
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,newRoot_pair,8,7.05,8.285,6.3,8.6,8,15466.0,18181.35,13919,18986
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,objects+,8,17.25,18.674999999999997,15.9,19.2,8,36647.0,39724.049999999996,33674,40878
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,objects-,8,7.199999999999999,7.994999999999999,6.5,8.1,8,15336.0,16949.75,13878,17200
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,objects_pair,8,24.299999999999997,26.215,23.2,26.6,8,51548.5,55946.9,49129,56838
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,0,newRoot,publishtotal,8,36.85,39.864999999999995,33.3,39.9,8,77708.0,84049.95,70374,84100
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,BuildPublish,8,86.35,343.8699999999998,75.1,464.9,8,182709.0,630645.8499999996,158564,836253
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,BuildSide+,8,9.2,12.299999999999997,8.8,13.7,8,19313.0,26039.499999999996,18399,29053
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,BuildSide-,8,19.55,40.94,18.7,44.3,8,41131.0,84193.24999999999,39217,90299
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,BuildSide_pair,8,28.65,53.20499999999999,27.6,58.0,8,60324.0,110075.94999999998,57786,119352
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,SetActive+,8,13.2,14.9,11.7,14.9,8,28166.0,31801.85,25102,31805
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,SetActive-,8,9.75,18.739999999999995,8.4,20.7,8,20964.0,40862.799999999996,18138,45438
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,SetActive_pair,8,23.55,33.315,20.1,35.1,8,50363.5,72004.9,43240,76228
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,buildtotal,8,47.349999999999994,71.91499999999999,42.4,75.8,8,100436.0,150323.44999999998,90825,157643
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,colliders+,8,1.0,1.3,0.9,1.3,8,2368.0,3039.5,2082,3043
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,colliders-,8,2.05,3.295,1.7,3.4,8,4691.5,7230.95,4015,7484
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,colliders_pair,8,3.15,4.359999999999999,2.9,4.5,8,7245.5,9660.05,6615,9939
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,newRoot+,8,2.4,4.564999999999999,1.9,5.3,8,5212.5,9863.599999999999,4284,11440
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,newRoot-,8,4.5,9.969999999999995,4.1,12.7,8,9905.5,21343.64999999999,8961,27147
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,newRoot_pair,8,6.85,13.244999999999997,6.2,15.1,8,14983.5,28583.949999999993,13895,32323
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,objects+,8,7.4,10.569999999999999,6.8,11.9,8,15862.5,22578.649999999994,14690,25428
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,objects-,8,15.9,35.52499999999999,15.3,38.5,8,33700.5,73930.49999999999,32458,79527
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,objects_pair,8,23.3,46.02499999999999,22.4,50.4,8,49563.0,96324.34999999999,47853,104955
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,1,newRoot,publishtotal,8,37.5,291.8099999999998,31.9,422.5,8,79057.5,520713.6499999997,67032,745428
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,BuildPublish,8,81.6,100.05999999999999,78.0,107.2,8,172331.0,212176.3,164858,227332
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,BuildSide+,8,20.7,25.154999999999998,18.7,26.8,8,43645.0,52845.34999999999,39381,56338
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,BuildSide-,8,8.850000000000001,9.915,8.3,10.3,8,18529.5,20873.8,17410,21641
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,BuildSide_pair,8,29.450000000000003,35.07,27.3,37.1,8,62026.5,73719.15,57444,77979
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,SetActive+,8,19.049999999999997,24.305,18.1,26.3,8,40588.0,51665.299999999996,38539,55831
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,SetActive-,8,3.1,3.3649999999999998,3.0,3.4,8,6934.0,7356.75,6690,7453
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,SetActive_pair,8,22.15,27.669999999999995,21.2,29.7,8,47439.5,59002.45,45237,63284
